"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",1,5.2,1.52633888888889,0,3.63
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",3.4,0.1,0,0,11.36
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",6.6,-2.9,7.244125,1,0
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",1,5.6,0.915013888888889,0,10.25
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",6.6,-2.8,6.79112777777778,1,0
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",6.6,-2.9,6.38116111111111,1,0
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",6.4,-1.8,6.95981111111111,1,0
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",6.6,-3.9,7.26405555555556,1,0
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",1,4.5,0.800916666666667,0,7.18
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",6.6,-1.8,6.07615833333333,1,0
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",3.8,-0.7,0,0,3.13
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",6.6,-1.9,6.01985833333333,1,0
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",6.6,-4.5,7.38473333333333,1,0
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",2,3.8,0.852491666666667,0,3.71
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",6.6,-2.9,7.04164444444444,1,0
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",6.6,-2.3,7.09186944444444,1,0
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",2.2,4.4,1.11299444444444,0,4.73
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",2.2,4.3,1.05775555555556,0,4.02
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",5,0.8,0,0,3.93
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",5,0.5,0,0,3.65
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",6.6,-2,6.24481666666667,1,0
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",8,2.7,7.34361666666667,1,0
"Bern","Schweiz",46.9484742,7.4521749,"Bern, Schweiz",6.6,-2.6,7.00062777777778,1,0
"Bornholm","Dänemark",55.1431224,14.9226297,"Bornholm, Dänemark",5,-0.1,0.725216666666667,0,0.1
"Aarhus","Dänemark",56.1496278,10.2134046,"Aarhus, Dänemark",1,-0.1,0,0,12.05
"St. Moritz","Schweiz",46.4978958,9.8392428,"St. Moritz, Schweiz",5.6,-11.4,7.55673333333333,1,0
"Hvide Sande","Dänemark",56.0057884,8.1288435,"Hvide Sande, Dänemark",1,0.2,0,0,16.02
"Interlaken","Schweiz",46.6855231,7.8585139,"Interlaken, Schweiz",6.6,-1.1,7.26235,1,0
"Bozen","Italien",46.4984781,11.3547399,"Bozen, Italien",8,2.7,7.35463611111111,1,0
"Wien","Österreich",48.2083537,16.3725042,"Wien, Österreich",6.4,-1.3,5.64333333333333,1,0
"Dijon","Frankreich",47.3306482417266,5.04637916570386,"Dijon, Frankreich",4.6,-3.2,0.9539,0,0.7
"Ostrava","Tschechien",49.8357051466446,18.2847749462072,"Ostrava, Tschechien",6.6,-2.6,6,1,0
"Klagenfurt am Wörthersee","Österreich",46.623943,14.3075976,"Klagenfurt am Wörthersee, Österreich",6.6,-0.5,6.04033611111111,1,0
"Riva del Garda","Italien",45.8847708,10.8396942,"Riva del Garda, Italien",8,2.7,7.46518333333333,1,0
"Graz","Österreich",47.0708678,15.4382786,"Graz, Österreich",6.4,-0.3,4.39522777777778,1,0
"Le Touquet-Paris-Plage","Frankreich",50.519693648444,1.5869973052921,"Le Touquet-Paris-Plage, Frankreich",5,4.3,5.46965555555555,0,3.3
"Bratislava","Slowakei",48.1516988,17.1093063,"Bratislava, Slowakei",6.4,-1.3,5.01659722222222,1,0
"Zermatt","Schweiz",46.0212076,7.749254,"Zermatt, Schweiz",5.2,-10.8,7.658475,1,0
"Bled","Slowenien",46.3684202,14.1100595,"Bled, Slowenien",7.4,0.5,5.65852222222222,1,0
"Paris","Frankreich",48.8534951,2.3483915,"Paris, Frankreich",4.4,2,1.54391944444444,0,3.6
"Norwich","England",52.6303076934772,1.29532126502049,"Norwich, England",7.4,2.3,5.98048055555556,1,0
"Ipswich","England",52.0570559966874,1.15209854040659,"Ipswich, England",7.4,3.2,6.06687777777778,1,0
"Katowice","Polen",50.264663446807,19.0188489472198,"Katowice, Polen",6.4,-3.8,5.22899166666667,1,0
"Torri del Benaco","Italien",45.6094493,10.6873869,"Torri del Benaco, Italien",8.2,6.2,7.55305,1,0
"Genf","Schweiz",46.2017559,6.1466014,"Genf, Schweiz",6.2,-0.4,6.00176944444444,1,0
"Sirmione","Italien",45.465106341539,10.6074284600272,"Sirmione, Italien",8,4.6,7.56018888888889,1,0
"Mailand","Italien",45.4641943,9.1896346,"Mailand, Italien",8,2.5,7.47440555555556,1,0
"Danzig","Polen",54.3706858,18.6129831,"Danzig, Polen",6.4,-1.7,5.783725,1,0
"Maribor","Slowenien",46.5536194239738,15.6470952284808,"Maribor, Slowenien",5.4,-0.7,0.137113888888889,1,0
"Ljubljana","Slowenien",46.0500268,14.5069289,"Ljubljana, Slowenien",5.6,-1.3,1.49270555555556,1,0
"Annecy","Frankreich",45.8992348,6.1288847,"Annecy, Frankreich",6.4,-1.6,6.00056944444444,1,0
"Venedig","Italien",45.4371908,12.3345898,"Venedig, Italien",8,5.6,7.59774166666667,1,0
"Triest","Italien",45.651996855795,13.7625166166528,"Triest, Italien",7.8,4,6.4081,1,0
"Cambridge","England",52.2039079652867,0.123678265263848,"Cambridge, England",7.2,2.9,6.13173333333333,0,0.4
"Krakau","Polen",50.0619474,19.9368564,"Krakau, Polen",5.6,-2.6,0.456444444444444,1,0
"Skagen","Dänemark",57.7259703,10.5844602,"Skagen, Dänemark",3,0.4,0,0,8.82
"London","England",51.4893335,-0.1440551,"London, England",7.6,4.4,6.08416666666667,1,0
"Göteborg","Schweden",57.7072326,11.9670171,"Göteborg, Schweden",4,-1.6,0.286169444444444,0,4.3
"Brighton","England",50.8214626,-0.1400561,"Brighton, England",7.4,6.7,6.20668888888889,0,0.1
"Zakopane","Polen",49.2969114,19.9504753,"Zakopane, Polen",4.4,-7.5,2.83749722222222,1,0
"Lyon","Frankreich",45.7578137,4.8320114,"Lyon, Frankreich",5.8,-1.4,4,0,0.7
"Bourges","Frankreich",47.0816637770149,2.3971472645533,"Bourges, Frankreich",4,0.1,0,0,5.2
"Rovinj","Kroatien",45.0807411,13.6417282,"Rovinj, Kroatien",7.8,5.1,5.49465,1,0
"Balaton","Ungarn",46.8839313,17.8476796,"Balaton, Ungarn",5.4,-0.9,0.962480555555556,1,0
"Zagreb","Kroatien",45.8130967,15.9772795,"Zagreb, Kroatien",5,-1.3,0,1,0
"Deauville","Frankreich",49.3575767556172,0.0714877491844544,"Deauville, Frankreich",5.8,5.8,6.30433611111111,0,1.6
"Warschau","Polen",52.2319581,21.0067249,"Warschau, Polen",6,-3.6,1.22654444444444,1,0
"Hohe Tatra (Tatranská Lomnica)","Slowakei",49.13815,20.21931,"Hohe Tatra (Tatranská Lomnica), Slowakei",4.4,-7.2,3.86880277777778,0,0.1
"Pula","Kroatien",44.8702281,13.8455311,"Pula, Kroatien",6.8,3.9,0.518522222222222,1,0
"Budapest","Ungarn",47.4970637896166,19.0389974414942,"Budapest, Ungarn",4,-1,2.51643888888889,0,0.6
"Kristiansand","Norwegen",58.1471572706719,7.9950701511758,"Kristiansand, Norwegen",3.4,-3.8,0,0,0.43
"Oxford","England",51.7521094440644,-1.25943310722207,"Oxford, England",6.8,3.5,5.72400277777778,0,0.9
"Cinque Terre","Italien",44.1222144,9.7132501,"Cinque Terre, Italien",8,7.9,7.91139444444444,1,0
"Isle of Wight","England",50.6985908387884,-1.29460617388774,"Isle of Wight, England",6.8,7.7,5.49694722222222,0,1.2
"Le Mans","Frankreich",48.0040247155424,0.196846381986147,"Le Mans, Frankreich",5,4.1,4.61778055555556,0,2.1
"Clermont-Ferrand","Frankreich",45.7775124600661,3.08329535096197,"Clermont-Ferrand, Frankreich",6,2.9,1.695275,0,1.6
"York","England",53.9613991992233,-1.08076703662315,"York, England",6.2,1.9,4.537425,0,3.4
"Plitvicer Seen","Kroatien",44.8654878218141,15.5820762694377,"Plitvicer Seen, Kroatien",1,-7.5,0,0,3.9
"Rimini","Italien",44.0594531009706,12.5690522641146,"Rimini, Italien",6.8,5,2.24800277777778,1,0
"Viareggio","Italien",43.8672392,10.2506055,"Viareggio, Italien",8,7.7,7.42217777777778,1,0
"Birmingham","England",52.4788842342774,-1.89786812579122,"Birmingham, England",6.4,2.5,5.40688055555556,0,2.2
"Florenz","Italien",43.7697955,11.2556404,"Florenz, Italien",8,5.5,7.23209444444444,1,0
"Bournemouth","England",50.7214920062153,-1.87307077668799,"Bournemouth, England",6.8,8.7,4.71191388888889,0,1.5
"Sanremo","Italien",43.8198253,7.7748827,"Sanremo, Italien",8.2,9.5,7.96333888888889,1,0
"Monaco","Monaco",43.7334413733639,7.41993669279883,"Monaco",8.2,9.9,7.94724166666667,1,0
"Bath","England",51.3780084716059,-2.35965660980024,"Bath, England",7.8,4.8,6.54913055555556,1,0
"Klaipėda","Litauen",55.7127529,21.1350469,"Klaipėda, Litauen",5,0.4,0.259861111111111,0,7.05
"Visby (Gotland)","Schweden",57.6348041245621,18.2943388532952,"Visby (Gotland), Schweden",5.6,-0.5,2.02999722222222,1,0
"Nizza","Frankreich",43.7009358,7.2683912,"Nizza, Frankreich",8.2,10.3,7.86618611111111,1,0
"Manchester","England",53.4794892,-2.2451148,"Manchester, England",6.2,1.7,4.85193333333333,0,2.9
"Newcastle upon Tyne","England",54.9730244812033,-1.60861921007895,"Newcastle upon Tyne, England",6.2,1,3.23324444444444,0,2.2
"Zadar","Kroatien",44.1168594,15.2353257,"Zadar, Kroatien",5.4,4.8,0,0,1.5
"Cannes","Frankreich",43.5515198,7.0134418,"Cannes, Frankreich",8,8.2,7.52016388888889,1,0
"Saint Helier","Jersey",49.2167,-2.13753,"Saint Helier, Jersey",6.2,7.3,6.36080277777778,0,0.6
"Avignon","Frankreich",43.9492493,4.8059012,"Avignon, Frankreich",7.8,3.6,7.03299722222222,1,0
"Saint-Malo","Frankreich",48.649518,-2.0260409,"Saint-Malo, Frankreich",6.6,7.1,6.66717222222222,0,0.7
"Liverpool","England",53.4071991,-2.99168,"Liverpool, England",7.8,6.5,6.09533611111111,1,0
"Cardiff","Wales",51.4816546,-3.1791934,"Cardiff, Wales",7.8,5.9,6.002375,1,0
"Debrecen","Ungarn",47.5290944086337,21.6264905369519,"Debrecen, Ungarn",1.3,-1.3,0,0,3.46
"Windermere (Lake District)","England",54.3802798094634,-2.90734459300512,"Windermere (Lake District), England",4.4,1.5,1.10731111111111,0,5.1
"Portoferraio (Elba)","Italien",42.8127815518848,10.3213971426561,"Portoferraio (Elba), Italien",8,7.6,7.46871111111111,1,0
"Oslo","Norwegen",59.9133301,10.7389701,"Oslo, Norwegen",5.4,-4.3,3.87521388888889,1,0
"Marseille","Frankreich",43.2961743,5.3699525,"Marseille, Frankreich",7.6,3.4,7.76795833333333,0,0.1
"Montpellier","Frankreich",43.6112422,3.8767337,"Montpellier, Frankreich",8,7.3,6.02966111111111,1,0
"Calvi","Frankreich",42.5677079,8.7590528,"Calvi, Frankreich",8.2,8.9,8.14369722222222,1,0
"Novi Sad","Serbien",45.2551338,19.8451756,"Novi Sad, Serbien",1,-1,0,0,7.96
"Split","Kroatien",43.5116383,16.4399659,"Split, Kroatien",1,8,0,0,16.9
"Saint-Nazaire","Frankreich",47.275366001175,-2.21686084980837,"Saint-Nazaire, Frankreich",6,7.5,5.97819444444444,0,1.7
"La Rochelle","Frankreich",46.159732,-1.1515951,"La Rochelle, Frankreich",4.6,8.3,5.99757222222222,0,5
"Plymouth","England",50.3661537484487,-4.14975485623161,"Plymouth, England",6,7.8,6,0,1.8
"Stockholm","Schweden",59.3251172,18.0710935,"Stockholm, Schweden",5.2,-0.3,0.506002777777778,1,0
"Edinburgh","Schottland",55.9533456,-3.1883749,"Edinburgh, Schottland",5.4,0.9,0,0,1.7
"Sarajevo","Bosnien-Herzegowina",43.8519774,18.3866868,"Sarajevo, Bosnien-Herzegowina",1,-4.9,0,0,9.4
"Douglas","Isle of Man",54.152299920289,-4.4851686250414,"Douglas, Isle of Man",7.2,6.1,4.78740833333333,1,0
"Belgrad","Serbien",44.8178131,20.4568974,"Belgrad, Serbien",1,-0.9,0,0,7.68
"Ajaccio","Frankreich",41.9263991,8.7376029,"Ajaccio, Frankreich",8,11.2,8.17191111111111,0,0.1
"Bergen","Norwegen",60.3943055,5.3259192,"Bergen, Norwegen",6.2,-4.8,3.72533888888889,1,0
"Mostar","Bosnien-Herzegowina",43.3435855,17.8076584,"Mostar, Bosnien-Herzegowina",1,7.9,0,0,28.8
"Uppsala","Schweden",59.8586126,17.6387436,"Uppsala, Schweden",5.2,-0.7,0.380397222222222,1,0
"Rom","Italien",41.8933203,12.4829321,"Rom, Italien",6,8.3,0,1,0
"Vilnius","Litauen",54.6870458,25.2829111,"Vilnius, Litauen",5.4,-3.3,0,1,0
"Bordeaux","Frankreich",44.841225,-0.5800364,"Bordeaux, Frankreich",5.8,5.6,1.92297777777778,0,2.1
"Glasgow","Schottland",55.861155,-4.2501687,"Glasgow, Schottland",7.4,1.6,4.48452222222222,1,0
"Saaremaa","Estland",58.27382,22.2771058,"Saaremaa, Estland",5.6,-1.7,3.42846111111111,0,0.2
"Riga","Lettland",56.9493977,24.1051846,"Riga, Lettland",5.6,-2.7,1.60118611111111,1,0
"Brest","Frankreich",48.3905283,-4.4860088,"Brest, Frankreich",6.6,9.7,6.03488055555556,0,1.1
"St Ives","England",50.2149064,-5.4795083,"St Ives, England",5.4,10.6,5.07708333333333,0,1.6
"Collioure","Frankreich",42.52505,3.0831554,"Collioure, Frankreich",8.2,9.8,7.42218611111111,1,0
"Cadaqués","Spanien",42.2893484,3.2752159,"Cadaqués, Spanien",8.2,10.1,7.90619722222222,1,0
"Dubrovnik","Kroatien",42.6491029,18.0939501,"Dubrovnik, Kroatien",1,13.8,0,0,9.1
"Belfast","Nordirland",54.5975804,-5.9277097,"Belfast, Nordirland",6.6,5.3,2.25830277777778,0,0.4
"Dublin","Irland",53.3493795,-6.2605593,"Dublin, Irland",5.8,4.7,0.283358333333333,0,0.5
"Inverness","Schottland",57.4790124,-4.225739,"Inverness, Schottland",6.8,2.9,1.14866388888889,1,0
"Olbia","Italien",40.9232659,9.5027442,"Olbia, Italien",7.2,9.8,4.37491666666667,0,0.2
"Andorra la Vella","Andorra",42.5063185063084,1.52143838753646,"Andorra la Vella, Andorra",8.2,5.6,8,1,0
"Kotor","Montenegro",42.4249205,18.7713332,"Kotor, Montenegro",1,13.9,0,0,25.9
"Sibiu","Rumänien",45.7973912,24.1519202,"Sibiu, Rumänien",3.6,0.6,0,0,2.2
"Budva","Montenegro",42.2885656,18.8419505,"Budva, Montenegro",1,14.5,0,0,30.5
"Neapel","Italien",40.8358846,14.2487679,"Neapel, Italien",1,13.2,0,0,16.4
"Lloret de Mar","Spanien",41.6995109112219,2.84230767990933,"Lloret de Mar, Spanien",8.6,9.2,8.10946388888889,1,0
"Geiranger","Norwegen",62.1006277,7.2058959,"Geiranger, Norwegen",5,-6.2,2.61691388888889,1,0
"Capri","Italien",40.5504891322527,14.2434581094189,"Capri, Italien",1,13,0.119594444444444,0,18.2
"Biarritz","Frankreich",43.4832523,-1.5592776,"Biarritz, Frankreich",4.7,10.6,5.86390277777778,0,0.7
"Bari","Italien",41.1159722415926,16.8715523467793,"Bari, Italien",1,9.5,0,0,9.9
"Turku","Finnland",60.4517531,22.2670522,"Turku, Finnland",5.2,-3.5,0,1,0
"Barcelona","Spanien",41.3828939,2.1774322,"Barcelona, Spanien",8.4,8.5,8.08378888888889,1,0
"San Sebastián","Spanien",43.3224219,-1.9838889,"San Sebastián, Spanien",3.4,10.3,4.99891666666667,0,2.2
"Tallinn","Estland",59.4372155,24.7453688,"Tallinn, Estland",5.4,-3.7,3.05386111111111,0,0.96
"Cork","Irland",51.8985136,-8.4726423,"Cork, Irland",3.3,5.7,0,0,2.4
"Prizren","Kosovo",42.2130151,20.7363339,"Prizren, Kosovo",2.4,11.7,4.93247222222222,0,10.3
"Brașov","Rumänien",45.6525105,25.6105654,"Brașov, Rumänien",4.8,2.3,0,0,0.2
"Galway","Irland",53.2744122,-9.0490601,"Galway, Irland",3.3,5.8,0,0,1.5
"Helsinki","Finnland",60.1674881,24.9427473,"Helsinki, Finnland",2.8,-2.4,0,0,1.08
"Östersund","Schweden",63.1764516209841,14.6360535585664,"Östersund, Schweden",2.6,-13.6,0,0,3.37
