"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",6.975,12.0875,5.77802465277778,3,13.33
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",5.5375,11.3,5.15691354166667,3,19.13
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",5.475,5.425,2.94575034722222,1,19.2
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",6.0625,11.925,4.74326805555556,3,9.6
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",5.95,10.175,6.08702326388889,3,11.5
"Bremerhaven","Bremen","Bremerhaven","(HB)",5.6,9.1,3.70455902777778,2,14.1
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",5.325,9.9625,4.43021041666667,1,17.6
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",5.7625,7.1,3.00811701388889,2,19
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",6.975,11.1625,5.40653784722222,3,3.6
"Weimar","Thüringen","Weimar, Thüringen","(TH)",6.5125,11.75,5.71456354166667,3,8
"Würzburg","Bayern","Würzburg, Bayern","(BY)",6.85,12.325,5.75458194444444,4,8.5
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern","(MV)",5.75,9.5625,3.70358784722222,2,16.2
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein","(SH)",5.4875,4.875,5.68613645833333,1,12.73
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen","(NI)",5.8375,9.1,3.81555833333333,2,14.9
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern","(MV)",5.35,7.2375,2.63897569444444,1,17.3
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern","(MV)",5.7125,7.2125,2.80850104166667,2,21.5
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern","(BY)",5.3,11.9125,5.35230208333333,3,10.9
"Bad Schandau","Sachsen","Bad Schandau, Sachsen","(SN)",5.475,11.1875,4.60483159722222,1,16.8
