"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Bled","Slowenien :si:",6.9,5.475,3.67018194444444,2,0.8
"Paris","Frankreich :fr:",7.3,10.45,2.61749166666667,3,2.1
"Norwich","England :gb-eng:",6.075,9.4,1.18076805555556,2,3.7
"Ipswich","England :gb-eng:",6.175,9.725,1.12046666666667,2,3.5
"Katowice","Polen :pl:",7.75,5.775,4.43130069444445,4,0
"Torri del Benaco","Italien :it:",5.95,11.875,3.77065833333333,2,11.1
"Genf","Schweiz :ch:",7.5,7.55,3.31056111111111,4,0
"Sirmione","Italien :it:",5.75,10.8,3.73181875,2,15.4
"Mailand","Italien :it:",5.6,8.525,3.51381041666667,2,18.1
"Danzig","Polen :pl:",7.45,5.775,2.7344375,4,0
"Maribor","Slowenien :si:",6.6,3.45,0.482259722222222,3,0.9
"Ljubljana","Slowenien :si:",6.5,4.175,1.95041736111111,2,1.9
"Annecy","Frankreich :fr:",7.95,8.875,5.28408611111111,4,0
"Venedig","Italien :it:",6.7,10.3,3.81545694444444,2,2.5
"Triest","Italien :it:",6.25,12.375,4.06020347222222,2,8.5
"Cambridge","England :gb-eng:",5.6,9.825,1.23218263888889,2,9.3
"Krakau","Polen :pl:",7.5,4.725,2.83405416666667,4,0
"Skagen","Dänemark :dk:",5.675,8.975,1.16480555555556,1,4.2
"London","England :gb-eng:",6.025,10.525,0.908464583333333,2,3.7
"Göteborg","Schweden :se:",4.95,7.925,0.847156944444444,2,9.4
"Brighton","England :gb-eng:",6.075,11.3,0.174259027777778,2,1.3
"Zakopane","Polen :pl:",7.6,5.25,4.0416625,3,0.1
"Lyon","Frankreich :fr:",7.55,11,4.39385208333333,3,2.1
"Bourges","Frankreich :fr:",7.2,11.175,1.91734166666667,3,1.3
"Rovinj","Kroatien :hr:",6.5,13.5,3.70315138888889,2,6
"Balaton","Ungarn :hu:",6.75,2.775,0.459821527777778,3,0.6
"Zagreb","Kroatien :hr:",6.4,2.35,0.218375694444444,3,1.9
"Deauville","Frankreich :fr:",7.85,10.925,4.54439305555556,4,0
"Warschau","Polen :pl:",7.45,5.625,2.54090902777778,4,0
"Hohe Tatra (Tatranská Lomnica)","Slowakei :sk:",7.9,4.4,5.89881527777778,4,0
"Pula","Kroatien :hr:",6.675,13.55,3.350375,2,4.7
"Budapest","Ungarn :hu:",7.45,4.35,2.73375069444444,4,0
"Kristiansand","Norwegen :no:",2.775,9.125,1.00931180555556,1,11.83
"Oxford","England :gb-eng:",5.35,10.35,1.29467083333333,2,17.9
"Cinque Terre","Italien :it:",5.55,13.05,3.15562361111111,1,45.54
"Isle of Wight","England :gb-eng:",6.225,10.875,1.60382222222222,2,7.2
"Le Mans","Frankreich :fr:",7.65,10.85,4.07898472222222,4,0
"Clermont-Ferrand","Frankreich :fr:",8.05,12.175,5.73907847222222,3,0.1
"York","England :gb-eng:",4.275,10.3,0.455626388888889,1,15.03
"Plitvicer Seen","Kroatien :hr:",6.875,8.475,4.64744166666667,3,1.8
"Rimini","Italien :it:",6.85,9.775,4.50942638888889,2,2.6
"Viareggio","Italien :it:",5.75,13.45,3.90152777777778,2,25.3
"Birmingham","England :gb-eng:",4.275,10.375,0.644932638888889,2,20.19
"Florenz","Italien :it:",6.1,12.275,4.12499097222222,2,7.5
"Bournemouth","England :gb-eng:",5.75,11.5,2.57085138888889,1,9.2
"Sanremo","Italien :it:",6,14.4,4.1800875,2,4.76
"Monaco","Monaco :mc:",6,14.775,4.07266597222222,2,5.55
"Bath","England :gb-eng:",4.7,10.725,0.0188270833333333,1,5.13
"Klaipėda","Litauen :lt:",6.75,6.85,1.26292083333333,3,1.8
"Visby (Gotland)","Schweden :se:",5.75,6.875,1.81800763888889,1,7.2
