"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Kurort Oybin","Sachsen","Kurort Oybin, Sachsen","(SN)",2.26666666666667,-0.5,1.4155787037037,0,14.6
"Murnau am Staffelsee","Bayern","Murnau am Staffelsee, Bayern","(BY)",1.73333333333333,2.9,4.34871296296296,0,6.2
"Senftenberg","Brandenburg","Senftenberg, Brandenburg","(BB)",2.66666666666667,1.1,2.86151203703704,0,11.5
"Bad Salzuflen","Nordrhein-Westfalen","Bad Salzuflen, Nordrhein-Westfalen","(NW)",2.26666666666667,3.5,0.469230555555556,0,14.15
"Hann. Münden","Niedersachsen","Hann. Münden, Niedersachsen","(NI)",2,3.03333333333333,1.67871018518519,0,13.5
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg","(BW)",3.4,4.43333333333333,3.2153212962963,0,4.1
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg","(BW)",1.33333333333333,6.76666666666667,2.61991018518519,0,5.46
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen","(NI)",1.83333333333333,2.53333333333333,3.56510648148148,0,10.7
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern","(MV)",4.8,1.4,2.17064907407407,1,8
"Hameln","Niedersachsen","Hameln, Niedersachsen","(NI)",1.06666666666667,2.6,2.23297962962963,0,15.56
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen","(NW)",1.66666666666667,3.16666666666667,0.679146296296296,0,27.85
"Schillig","Niedersachsen","Schillig, Niedersachsen","(NI)",3.33333333333333,1.43333333333333,0.196260185185185,0,15.56
"Rathen","Sachsen","Rathen, Sachsen","(SN)",2.43333333333333,1.9,2.59876574074074,0,8.8
"Meißen","Sachsen","Meißen, Sachsen","(SN)",3,2.43333333333333,3.33997222222222,0,9.8
"Rottach-Egern","Bayern","Rottach-Egern, Bayern","(BY)",1.73333333333333,3.7,4.46725648148148,0,8.1
"Eltville am Rhein","Hessen","Eltville am Rhein, Hessen","(HE)",3.23333333333333,4.3,2.96564814814815,0,14.66
"Bad Muskau","Sachsen","Bad Muskau, Sachsen","(SN)",2.93333333333333,0.733333333333334,1.68930092592593,1,8.6
"Boppard","Rheinland-Pfalz","Boppard, Rheinland-Pfalz","(RP)",3.8,3.33333333333333,1.98395277777778,0,11.5
"Bad Tölz","Bayern","Bad Tölz, Bayern","(BY)",1.96666666666667,3.16666666666667,4.37717685185185,0,7.3
"Xanten","Nordrhein-Westfalen","Xanten, Nordrhein-Westfalen","(NW)",3.86666666666667,2.43333333333333,2.59478518518519,0,11.9
"Dahme","Schleswig-Holstein","Dahme, Schleswig-Holstein","(SH)",4.66666666666667,0.833333333333333,2.05352314814815,1,12.6
"Ruhpolding","Bayern","Ruhpolding, Bayern","(BY)",1.4,4.2,4.48512777777778,0,11.26
"Stade","Niedersachsen","Stade, Niedersachsen","(NI)",3.76666666666667,0.833333333333333,1.64909814814815,0,9.4
"Dangast","Niedersachsen","Dangast, Niedersachsen","(NI)",3.26666666666667,1.83333333333333,0.171376851851852,0,15.1
"Oberhausen","Nordrhein-Westfalen","Oberhausen, Nordrhein-Westfalen","(NW)",3.93333333333333,2.96666666666667,2.44246759259259,0,13.9
"Gießen","Hessen","Gießen, Hessen","(HE)",2.6,3.43333333333333,2.21313981481481,0,20.65
"Siegen","Nordrhein-Westfalen","Siegen, Nordrhein-Westfalen","(NW)",1.66666666666667,3.26666666666667,0.488526851851852,0,34.7
