"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",8.2,12,15.3600444444444,1,0
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",8.6,18.8,15.3118722222222,1,0
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",8.6,15.1,15.6730527777778,1,0
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",8.8,27.7,14.7416583333333,1,0
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",8.8,18,15.2832638888889,1,0
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",8.4,28.2,14.5510055555556,0,1.8
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",5.8,21.9,13.1857638888889,0,0
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",4.3,22.8,14.8105555555556,0,2.6
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",6.7,21.3,14.5876555555556,0,0
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",8.8,18.4,15.2656611111111,1,0
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",9,22.1,9.77964166666667,1,0
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",8.8,17.6,15.7611,1,0
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",9.4,22.2,15.3710055555556,1,0
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",6.7,21.6,14.4862611111111,0,0
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",8.8,20.1,15.1713972222222,1,0
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",8.4,25.5,14.6441055555556,0,0.6
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",4.3,20.6,6.59352222222222,0,0
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",8.6,17,15.2308333333333,1,0
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",8.6,16.6,15.2222027777778,1,0
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",8.4,15.7,15.8067194444444,1,0
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",8.6,15.8,15.8220583333333,1,0
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",9,26.9,14.9254444444444,0,0.8
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",3.9,19.9,6.13558333333333,0,30.4
"Bern","Schweiz",46.9484742,7.4521749,"Bern, Schweiz",5.4,21.8,12.0190138888889,0,0.8
"Bornholm","Dänemark",55.1431224,14.9226297,"Bornholm, Dänemark",8.6,15.4,15.756975,1,0
"Aarhus","Dänemark",56.1496278,10.2134046,"Aarhus, Dänemark",8.8,16.1,15.8445611111111,1,0
"St. Moritz","Schweiz",46.4978958,9.8392428,"St. Moritz, Schweiz",4.4,8.4,4.19721944444444,0,4.8
"Hvide Sande","Dänemark",56.0057884,8.1288435,"Hvide Sande, Dänemark",8.8,16.9,15.9014888888889,1,0
"Interlaken","Schweiz",46.6855231,7.8585139,"Interlaken, Schweiz",4.3,22.6,10.0688444444444,0,1.2
"Bozen","Italien",46.4984781,11.3547399,"Bozen, Italien",5.1,20.4,8.44120555555556,0,3.2
"Wien","Österreich",48.2083537,16.3725042,"Wien, Österreich",9,28,14.7579555555556,0,0.1
"Dijon","Frankreich",47.3306482417266,5.04637916570386,"Dijon, Frankreich",4.4,17.4,14.50075,0,4.2
"Ostrava","Tschechien",49.8357051466446,18.2847749462072,"Ostrava, Tschechien",9,24.2,15.0061388888889,0,0.7
"Klagenfurt am Wörthersee","Österreich",46.623943,14.3075976,"Klagenfurt am Wörthersee, Österreich",9,22.1,14.4652138888889,1,0
"Riva del Garda","Italien",45.8847708,10.8396942,"Riva del Garda, Italien",3.2,22,13.9466861111111,0,5.4
"Graz","Österreich",47.0708678,15.4382786,"Graz, Österreich",9.4,26.9,14.5152222222222,1,0
"Le Touquet-Paris-Plage","Frankreich",50.519693648444,1.5869973052921,"Le Touquet-Paris-Plage, Frankreich",8.4,19.2,14.8310861111111,1,0
"Bratislava","Slowakei",48.1516988,17.1093063,"Bratislava, Slowakei",9.2,27.1,14.7211944444444,1,0
"Zermatt","Schweiz",46.0212076,7.749254,"Zermatt, Schweiz",1.2,8.6,7.97360833333333,0,9.8
"Bled","Slowenien",46.3684202,14.1100595,"Bled, Slowenien",4.9,20.2,14.3721138888889,0,0
