"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Leiwen","Rheinland-Pfalz","Leiwen, Rheinland-Pfalz","(RP)",3.6,12,0.0505138888888889,0,7.9
"Bayreuth","Bayern","Bayreuth, Bayern","(BY)",8.8,18.4,10.6409611111111,1,0
"Rheinsberg","Brandenburg","Rheinsberg, Brandenburg","(BB)",8.6,18.3,9.57263888888889,1,0
"Ingolstadt","Bayern","Ingolstadt, Bayern","(BY)",8.6,17.2,10.7101416666667,1,0
"Niendorf","Schleswig-Holstein","Niendorf, Schleswig-Holstein","(SH)",7.8,15.6,7.20440833333333,1,0
"Paderborn","Nordrhein-Westfalen","Paderborn, Nordrhein-Westfalen","(NW)",8.2,19.5,10.4601166666667,1,0
"Prien am Chiemsee","Bayern","Prien am Chiemsee, Bayern","(BY)",8.6,17.6,10.6641444444444,1,0
"Bad Kreuznach","Rheinland-Pfalz","Bad Kreuznach, Rheinland-Pfalz","(RP)",8,18.3,10.7877666666667,1,0
"Jena","Thüringen","Jena, Thüringen","(TH)",8.8,19.6,10.4803083333333,1,0
"Zell (Mosel)","Rheinland-Pfalz","Zell (Mosel), Rheinland-Pfalz","(RP)",4.2,13.8,0.952441666666667,0,3
"Pirna","Sachsen","Pirna, Sachsen","(SN)",8.6,17.4,9.60928611111111,1,0
"Bochum","Nordrhein-Westfalen","Bochum, Nordrhein-Westfalen","(NW)",4.8,7.2,0,0,4.6
"Laboe","Schleswig-Holstein","Laboe, Schleswig-Holstein","(SH)",6.8,11.2,3.68397222222222,0,0.3
"Chemnitz","Sachsen","Chemnitz, Sachsen","(SN)",8.8,17.2,10.2957277777778,1,0
"Grainau","Bayern","Grainau, Bayern","(BY)",8.4,14.7,10.9118666666667,1,0
"Limburg an der Lahn","Hessen","Limburg an der Lahn, Hessen","(HE)",8,19.2,10.7353055555556,1,0
"Leer","Niedersachsen","Leer, Niedersachsen","(NI)",6.8,9.6,9.12028611111111,0,2.6
"Bad Harzburg","Niedersachsen","Bad Harzburg, Niedersachsen","(NI)",8.2,17.9,10.4732027777778,1,0
"Hopfen am See","Bayern","Hopfen am See, Bayern","(BY)",8.4,14.9,10.8074083333333,1,0
"Hohwacht (Ostsee)","Schleswig-Holstein","Hohwacht (Ostsee), Schleswig-Holstein","(SH)",7.4,12.9,5.98386388888889,1,0
"Heilbronn","Baden-Württemberg","Heilbronn, Baden-Württemberg","(BW)",8.2,19.8,10.6023777777778,1,0
"Schwangau","Bayern","Schwangau, Bayern","(BY)",8.6,16.2,10.8594583333333,1,0
"Tegernsee","Bayern","Tegernsee, Bayern","(BY)",8.6,17.8,10.7726055555556,1,0
"Wustrow","Mecklenburg-Vorpommern","Wustrow, Mecklenburg-Vorpommern","(MV)",7.8,13.6,6.99345,1,0
"Hildesheim","Niedersachsen","Hildesheim, Niedersachsen","(NI)",8.4,20.4,9.04769722222222,1,0
"Kurort Oybin","Sachsen","Kurort Oybin, Sachsen","(SN)",8.4,14.6,9.43958611111111,1,0
"Murnau am Staffelsee","Bayern","Murnau am Staffelsee, Bayern","(BY)",8.6,17,10.9102055555556,1,0
"Senftenberg","Brandenburg","Senftenberg, Brandenburg","(BB)",8.6,17.6,9.76013055555556,1,0
"Bad Salzuflen","Nordrhein-Westfalen","Bad Salzuflen, Nordrhein-Westfalen","(NW)",8.2,19.3,10.7385638888889,1,0
"Hann. Münden","Niedersachsen","Hann. Münden, Niedersachsen","(NI)",8.6,20.1,10.0452222222222,1,0
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg","(BW)",8.4,16.9,10.4859583333333,1,0
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg","(BW)",8.2,13.6,10.5327,1,0
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen","(NI)",8.4,19.7,9.70635833333333,1,0
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern","(MV)",8,15.8,8.00739166666667,1,0
"Hameln","Niedersachsen","Hameln, Niedersachsen","(NI)",8,19.7,9.31473888888889,1,0
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen","(NW)",8.2,18.3,10.7259,1,0
"Schillig","Niedersachsen","Schillig, Niedersachsen","(NI)",7.2,14.4,4.62888055555556,0,0.6
"Rathen","Sachsen","Rathen, Sachsen","(SN)",8.6,17.2,9.60971111111111,1,0
"Meißen","Sachsen","Meißen, Sachsen","(SN)",8.6,17.4,9.86346666666667,1,0
"Rottach-Egern","Bayern","Rottach-Egern, Bayern","(BY)",8.6,17.8,10.7726055555556,1,0
