"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg","(BB)",6.25714285714286,0.428571428571428,3.01490357142857,4,4.3
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz","(RP)",5.25714285714286,2.97142857142857,1.19987380952381,3,9.1
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein","(SH)",5.82857142857143,2.15714285714286,1.89687579365079,3,9.3
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen","(NI)",5.37142857142857,3.51428571428571,2.33394722222222,3,22
"Tossens","Niedersachsen","Tossens, Niedersachsen","(NI)",5.91428571428571,3.62857142857143,2.54285833333333,3,18.86
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen","(NI)",5.4,2.95714285714286,2.55025436507937,3,21
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein","(SH)",5.65714285714286,2.48571428571429,2.51560873015873,3,19.94
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern","(MV)",6,1.31428571428571,1.98994404761905,2,4.6
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern","(MV)",6.08571428571429,1.44285714285714,2.20486626984127,3,5.6
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern","(MV)",5.88571428571429,0.671428571428571,2.00980476190476,4,6.7
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern","(MV)",5.77142857142857,0.342857142857143,1.9615380952381,4,5.8
"Reit im Winkl","Bayern","Reit im Winkl, Bayern","(BY)",6.64285714285714,3.52857142857143,5.73713373015873,4,1.9
"Oberammergau","Bayern","Oberammergau, Bayern","(BY)",6.5,3.42857142857143,4.6995623015873,6,2.2
"Bad Wiessee","Bayern","Bad Wiessee, Bayern","(BY)",6.55714285714286,3.85714285714286,5.20498333333333,4,2.1
"Lenggries","Bayern","Lenggries, Bayern","(BY)",6.41428571428571,3.75714285714286,4.46982976190476,4,2.9
"Dinkelsbühl","Bayern","Dinkelsbühl, Bayern","(BY)",6.42857142857143,2.48571428571429,4.23628095238095,4,3.1
"Schwäbisch Hall","Baden-Württemberg","Schwäbisch Hall, Baden-Württemberg","(BW)",6.6,4.3,3.74767182539683,4,2.3
"Plön","Schleswig-Holstein","Plön, Schleswig-Holstein","(SH)",5.65714285714286,2.17142857142857,2.03841111111111,2,11.05
"Malchow","Mecklenburg-Vorpommern","Malchow, Mecklenburg-Vorpommern","(MV)",5.94285714285714,0.914285714285714,2.16893373015873,6,6.2
"Mirow","Mecklenburg-Vorpommern","Mirow, Mecklenburg-Vorpommern","(MV)",6,0.528571428571429,1.94185793650794,5,6.1
"Neustrelitz","Mecklenburg-Vorpommern","Neustrelitz, Mecklenburg-Vorpommern","(MV)",5.77142857142857,0.242857142857143,1.772125,5,6.1
"Neubrandenburg","Mecklenburg-Vorpommern","Neubrandenburg, Mecklenburg-Vorpommern","(MV)",5.77142857142857,0.528571428571429,1.69593611111111,5,6.5
"Bad Mergentheim","Baden-Württemberg","Bad Mergentheim, Baden-Württemberg","(BW)",6.28571428571429,3.81428571428571,2.73719722222222,4,3.1
"Bad Wimpfen","Baden-Württemberg","Bad Wimpfen, Baden-Württemberg","(BW)",6.22857142857143,3.3,2.4361503968254,4,3.8
"Saalfeld","Thüringen","Saalfeld, Thüringen","(TH)",6.51428571428571,3.64285714285714,2.9668630952381,4,5.2
"Wandlitz","Brandenburg","Wandlitz, Brandenburg","(BB)",6.11428571428571,0.642857142857143,2.72451071428571,4,7
"Ramsau","Bayern","Ramsau, Bayern","(BY)",6.88571428571429,4.9,5.75859603174603,4,1.7
"Born a. Darß","Mecklenburg-Vorpommern","Born a. Darß, Mecklenburg-Vorpommern","(MV)",5.82857142857143,0.857142857142857,1.73444722222222,5,7.3
"Putgarten","Mecklenburg-Vorpommern","Putgarten, Mecklenburg-Vorpommern","(MV)",6,1.37142857142857,1.91289523809524,2,4.9
