"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Paris","Frankreich :fr:",8.6,13.8,10.8511666666667,1,0
"Norwich","England :gb-eng:",8.6,14.5,14.1890222222222,1,0
"Ipswich","England :gb-eng:",8.8,14.1,14.1616555555556,1,0
"Katowice","Polen :pl:",8.6,12.7,14.3153527777778,1,0
"Torri del Benaco","Italien :it:",7,11.4,5.37683611111111,0,0.7
"Genf","Schweiz :ch:",8,12.4,13.9996,1,0
"Sirmione","Italien :it:",6.6,11,4.24231944444444,0,2.3
"Mailand","Italien :it:",8,14.1,10.2032138888889,0,0.3
"Danzig","Polen :pl:",7.2,8.4,7.00053888888889,0,0.6
"Maribor","Slowenien :si:",8.2,10.5,13.45405,1,0
"Ljubljana","Slowenien :si:",6.4,8.1,7.83304444444444,0,2.2
"Annecy","Frankreich :fr:",8,12.8,13.9746222222222,1,0
"Venedig","Italien :it:",5.8,10.1,2.38581388888889,0,5.7
"Triest","Italien :it:",5.2,10.2,0.267408333333333,0,6
"Cambridge","England :gb-eng:",8.8,16.5,14.0925638888889,1,0
"Krakau","Polen :pl:",8.4,12.4,14.2916305555556,1,0
"Skagen","Dänemark :dk:",7.8,8.9,14.9440277777778,0,1.8
"London","England :gb-eng:",9,17.6,14.0144611111111,1,0
"Göteborg","Schweden :se:",7.6,8.9,14.5076722222222,0,1.1
"Brighton","England :gb-eng:",8.8,14.2,14.033575,1,0
"Zakopane","Polen :pl:",8.4,9,14.2393388888889,1,0
"Lyon","Frankreich :fr:",8.4,11.9,13.9440611111111,1,0
"Bourges","Frankreich :fr:",8.6,12.5,13.8408666666667,1,0
"Rovinj","Kroatien :hr:",5.2,10.1,0,0,7.9
"Balaton","Ungarn :hu:",8.8,13.9,13.8043361111111,1,0
"Zagreb","Kroatien :hr:",7.8,11.1,12.8892277777778,0,1.3
"Deauville","Frankreich :fr:",8.6,10.8,14.0267277777778,1,0
"Warschau","Polen :pl:",8.8,14.6,12.9462083333333,1,0
"Hohe Tatra (Tatranská Lomnica)","Slowakei :sk:",8.2,8.4,14.2222333333333,1,0
"Pula","Kroatien :hr:",6,11,3.91640833333333,0,6.1
"Budapest","Ungarn :hu:",9,13.9,14.0676166666667,1,0
"Kristiansand","Norwegen :no:",8.2,10.4,15,0,0.1
"Oxford","England :gb-eng:",8.6,15.9,14.1086666666667,1,0
"Cinque Terre","Italien :it:",6.6,13.1,7.13142777777778,0,7.9
"Isle of Wight","England :gb-eng:",8.6,12.8,14.1004416666667,1,0
"Le Mans","Frankreich :fr:",8.8,14.6,14.0451833333333,1,0
"Clermont-Ferrand","Frankreich :fr:",8.2,9.7,13.8309583333333,1,0
"York","England :gb-eng:",8.4,15.9,14.3692916666667,1,0
"Plitvicer Seen","Kroatien :hr:",4.6,2.9,0,0,5.3
"Rimini","Italien :it:",6.6,14.1,5.00967222222222,0,5.6
"Viareggio","Italien :it:",6.6,14.3,5.88718333333333,0,5.7
"Birmingham","England :gb-eng:",8.8,17,14.3076055555556,1,0
"Florenz","Italien :it:",7.2,13.5,7.76388611111111,0,1.5
"Bournemouth","England :gb-eng:",8.8,14.6,14.0789027777778,1,0
"Sanremo","Italien :it:",8,18.6,10.5619222222222,0,1
"Monaco","Monaco :mc:",7.2,16,5.21722777777778,0,3.6
"Bath","England :gb-eng:",8.6,14.4,14.1603222222222,1,0
"Klaipėda","Litauen :lt:",5.6,6.2,0,0,1.2
"Visby (Gotland)","Schweden :se:",7.8,10,11.0046333333333,0,0.6
"Nizza","Frankreich :fr:",7.2,16,5.21722777777778,0,3.6
"Manchester","England :gb-eng:",8.6,16.3,14.2743611111111,1,0
"Newcastle upon Tyne","England :gb-eng:",8.6,16.2,14.2053277777778,1,0
"Zadar","Kroatien :hr:",7.8,13.7,11.7810972222222,0,1.4
"Cannes","Frankreich :fr:",7.8,16.3,6.57533888888889,0,2.9
"Saint Helier","Jersey :je:",8.6,9.8,14.0961833333333,1,0
"Avignon","Frankreich :fr:",9,16.9,13.6179416666667,1,0
"Saint-Malo","Frankreich :fr:",8.6,12.6,13.9963555555556,1,0
"Liverpool","England :gb-eng:",8.6,15.9,13.0358583333333,1,0
"Cardiff","Wales :gb-wls:",8.4,14.8,14.3501111111111,1,0
"Debrecen","Ungarn :hu:",8.8,13.1,14.096075,1,0
"Windermere (Lake District)","England :gb-eng:",7,10.2,6.00669444444444,0,0.6
"Portoferraio (Elba)","Italien :it:",8.8,15.8,13.6067055555556,1,0
"Oslo","Norwegen :no:",8.2,8.1,15.0021472222222,1,0
"Marseille","Frankreich :fr:",9.2,17.2,13.6372972222222,1,0
"Montpellier","Frankreich :fr:",9.4,19.4,13.6207416666667,1,0
"Calvi","Frankreich :fr:",8.2,16.3,13.4863694444444,0,0.6
"Novi Sad","Serbien :rs:",8.6,11.9,13.8352138888889,1,0
"Split","Kroatien :hr:",8,17.7,13.7801694444444,0,1
"Saint-Nazaire","Frankreich :fr:",8.6,15,13.9459527777778,1,0
"La Rochelle","Frankreich :fr:",8.8,15.6,13.9633361111111,1,0
"Plymouth","England :gb-eng:",8.6,14.5,14.2511083333333,1,0
"Stockholm","Schweden :se:",8.2,9.6,15.3006611111111,1,0
"Edinburgh","Schottland :gb-sct:",8.2,12.6,14.6148111111111,1,0
"Sarajevo","Bosnien-Herzegowina :ba:",5.6,7.4,0,0,0.5
"Douglas","Isle of Man :im:",8.2,12.5,14.3404138888889,1,0
"Belgrad","Serbien :rs:",8.6,12.2,13.8540722222222,1,0
"Ajaccio","Frankreich :fr:",9.4,18.5,13.4762027777778,1,0
"Bergen","Norwegen :no:",5.2,5.2,1.54168333333333,0,5.1
"Mostar","Bosnien-Herzegowina :ba:",7.2,17.4,10.5259138888889,0,3.4
"Uppsala","Schweden :se:",8.2,9.9,15.370875,1,0
"Rom","Italien :it:",9,19.5,12.5340805555556,0,0.3
"Vilnius","Litauen :lt:",7.4,8.4,4.57405555555555,1,0
"Bordeaux","Frankreich :fr:",9,18,13.9027333333333,1,0
"Glasgow","Schottland :gb-sct:",8.4,11.9,13.0309777777778,1,0
"Saaremaa","Estland :ee:",7.2,8.1,8.89623888888889,0,0.9
"Riga","Lettland :lv:",6,8.8,4.29053055555556,0,6.3
"Brest","Frankreich :fr:",8.6,14.5,14.1684055555556,1,0
"St Ives","England :gb-eng:",8,13.6,13.9972694444444,0,0.6
"Collioure","Frankreich :fr:",9.4,19.9,13.6731972222222,1,0
"Cadaqués","Spanien :es:",9.4,19.4,13.6594138888889,1,0
"Dubrovnik","Kroatien :hr:",8,17.8,13.6770194444444,0,3
"Belfast","Nordirland :gb-nir:",8.4,13.1,13.5735055555556,1,0
"Dublin","Irland :ie:",8.2,15.1,14.5891222222222,1,0
"Inverness","Schottland :gb-sct:",7.6,10.7,7.51565555555556,1,0
"Olbia","Italien :it:",9.2,18.7,13.495025,1,0
"Andorra la Vella","Andorra :ad:",6.3,17.2,13.7393944444444,0,0
"Kotor","Montenegro :me:",7.8,18.4,13.691225,0,4.5
"Sibiu","Rumänien :ro:",6,11.2,0,0,0.6
"Budva","Montenegro :me:",8,18.4,13.691225,0,4.5
"Neapel","Italien :it:",9.6,20.4,13.6487944444444,1,0
"Lloret de Mar","Spanien :es:",8.6,16.7,7.37911388888889,1,0
"Geiranger","Norwegen :no:",5,4.9,11.445,0,2.6
"Capri","Italien :it:",9.2,16.8,13.6349916666667,1,0
"Biarritz","Frankreich :fr:",8.6,16.8,13.8097027777778,1,0
"Bari","Italien :it:",9.8,25.8,13.6627055555556,1,0
"Turku","Finnland :fi:",7.4,6.8,10.9004416666667,0,0.9
"Barcelona","Spanien :es:",6.8,16.3,0.759427777777778,0,0.9
"San Sebastián","Spanien :es:",8.4,16.3,13.1473527777778,0,0.5
"Tallinn","Estland :ee:",7,6.8,8.43761944444444,0,1.5
"Cork","Irland :ie:",8,16,14.0702166666667,0,0.6
"Prizren","Kosovo :xk:",8.8,21.2,13.732875,1,0
"Brașov","Rumänien :ro:",6.4,13.5,7.12653333333333,0,0.3
"Galway","Irland :ie:",8.4,14.4,13.0118777777778,1,0
"Helsinki","Finnland :fi:",5.8,6,2.63402777777778,0,3
"Östersund","Schweden :se:",8,2.3,13.2916805555556,1,0
"Trondheim","Norwegen :no:",6.8,3.2,15.4999222222222,0,0.8
"Cagliari","Italien :it:",9.4,18.8,13.4244555555556,1,0
"Menorca","Spanien :es:",9.2,17.6,13.395,1,0
"Sofia","Bulgarien :bg:",8.4,18.6,13.6877638888889,0,0.9
"Porvoo","Finnland :fi:",5.6,5.8,1.49139444444444,0,3.3
"Ohrid","Nordmazedonien :mk:",9,18.8,13.6332166666667,1,0
"Berat","Albanien :al:",9.6,24.4,13.5435722222222,1,0
"Tampere","Finnland :fi:",6,4.2,4.95249166666667,0,4.2
"Bukarest","Rumänien :ro:",9.2,19.8,13.6286388888889,1,0
"Palma de Mallorca","Spanien :es:",9,17.6,13.4892027777778,1,0
"Gijon","Spanien :es:",8.8,16,13.4216027777778,1,0
"Tropea","Italien :it:",9.6,21.2,13.5215944444444,1,0
"Saranda","Albanien :al:",9.2,19.4,13.5173888888889,1,0
"Palermo","Italien :it:",9.2,20.8,12.0364694444444,0,0.3
"Plowdiw","Bulgarien :bg:",7.6,22.6,13.5449666666667,0,1.5
"Korfu","Griechenland :gr:",9.6,20.5,13.536825,1,0
"Umeå","Schweden :se:",6.4,5.8,8.51857222222222,0,5
"Ibiza","Spanien :es:",9.2,18,13.5176444444444,1,0
"Thessaloniki","Griechenland :gr:",9.8,22.9,13.6085638888889,1,0
"Valencia","Spanien :es:",9,18.9,13.5690333333333,1,0
"Catania","Italien :it:",9.6,25.8,13.3029194444444,0,0.2
"Warna","Bulgarien :bg:",8.6,21.8,13.7886527777778,0,4.2
"Lefkada","Griechenland :gr:",9.6,20.6,13.0856111111111,1,0
"Madrid","Spanien :es:",9.6,23.4,13.4866361111111,1,0
"Sonnenstrand","Bulgarien :bg:",8.8,22.4,13.7582833333333,0,2.4
"Alicante","Spanien :es:",9,18.9,12.7815861111111,1,0
"Santiago de Compostela","Spanien :es:",9.2,22.5,13.5243833333333,1,0
"Luleå","Schweden :se:",8.4,5,16.4055916666667,1,0
"Valletta","Malta :mt:",9.8,22.6,13.3782694444444,1,0
"Oulu","Finnland :fi:",8.2,5.6,16.1904361111111,1,0
"Athen","Griechenland :gr:",9.8,24.3,13.3875166666667,1,0
"Porto","Portugal :pt:",9.4,26.9,13.6721138888889,1,0
"Istanbul","Türkei :tr:",9.8,23.9,13.6610305555556,1,0
"Lofoten","Norwegen :no:",5.6,2.4,11.3909611111111,0,5.9
"Almeria","Spanien :es:",9.4,22.8,12.8292916666667,1,0
"Rovaniemi","Finnland :fi:",7.4,4.2,16.4881583333333,0,1.2
"Granada","Spanien :es:",8.4,25.7,13.1715333333333,0,0
"Kiruna","Schweden :se:",7,1.2,14.0175333333333,0,4.6
"Izmir","Türkei :tr:",9.8,24.2,13.507175,1,0
"Nazaré","Portugal :pt:",9.4,23.6,13.3149277777778,1,0
"Málaga","Spanien :es:",9.6,22.9,13.244325,1,0
"Sevilla","Spanien :es:",9.2,28.4,12.3617472222222,1,0
"Santorini","Griechenland :gr:",9.4,16.4,13.4010305555556,1,0
"Ericeira","Portugal :pt:",9.6,25.4,13.2481888888889,1,0
"Lissabon","Portugal :pt:",9.4,28.2,13.2473361111111,1,0
"Chania","Griechenland :gr:",9.6,20.4,13.3240833333333,1,0
"Tromsø","Norwegen :no:",6.8,3.8,14.4283527777778,0,0
"Bodrum","Türkei :tr:",9.8,24.8,13.4378194444444,1,0
"Cádiz","Spanien :es:",9.6,23.9,13.1228361111111,1,0
"Tarifa","Spanien :es:",9.2,18.9,13.0694361111111,1,0
"Faro","Portugal :pt:",9.6,24.6,13.0584527777778,1,0
"Heraklion","Griechenland :gr:",9.8,22.4,13.347125,1,0
"Lagos","Portugal :pt:",9.6,26.1,13.1171694444444,1,0
"Rhodos","Griechenland :gr:",9.8,22.4,13.4010277777778,1,0
"Fethiye","Türkei :tr:",9.6,20.4,13.4132138888889,1,0
"Antalya","Türkei :tr:",9.6,24.1,13.4316388888889,1,0
"Side","Türkei :tr:",9.4,23.4,13.4254777777778,1,0
"Reykjavik","Island :is:",7.8,0.1,14.909225,1,0
"Kappadokien","Türkei :tr:",9.4,21.1,13.4333416666667,1,0
"Paphos","Zypern :cy:",9.4,19.9,13.3178166666667,1,0
"Nikosia","Zypern :cy:",9.8,25.2,13.3412277777778,1,0
"Ayia Napa","Zypern :cy:",9.6,20.8,13.3353472222222,1,0
"Jönköping","Schweden :se:",7.6,10.6,7.15699444444444,0,0.1
"Örebro","Schweden :se:",8.4,11.2,15.2171222222222,1,0
"Mora","Schweden :se:",8.2,7.2,15.5518055555556,1,0
"Lanzarote","Spanien :es:",9.6,21.3,12.9872777777778,1,0
"Teneriffa","Spanien :es:",9.6,20.3,12.8911,1,0
"Gran Canaria","Spanien :es:",9.8,23.4,12.9181805555556,1,0
"Fuerteventura","Spanien :es:",9.8,22.1,12.9562972222222,1,0
"Funchal (Madeira)","Portugal :pt:",9.4,18.5,13.2249694444444,1,0
"Ponta Delgada (Azoren)","Portugal :pt:",8.6,21.5,13.2164277777778,1,0
