"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",6.0625,1.375,3.53360625,5,6.4
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",6.025,2.125,3.22091840277778,1,13.18
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",3.3375,4.3125,3.57808611111111,0,29.27
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",3.9,4.1375,3.68290694444444,0,20.83
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",5.475,1.3,3.61672951388889,4,10
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",5.25,0.0375,4.8404375,4,9.8
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",5.025,4.5125,3.67925173611111,0,30.05
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",5.55,0.15,4.46505104166667,4,7.3
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",5.975,0.9375,4.47171354166667,5,8
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",6.225,0.825,4.75642152777778,5,5.9
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",5.875,0.575,6.03773506944444,5,12.6
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",5.025,4.0875,3.35893298611111,0,35.32
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",6.325,0.2875,3.742390625,5,2.33
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",4.7625,0.5625,1.66031701388889,1,10.8
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",5.5,-0.15,3.04721597222222,3,8.7
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",5.2,-1.3625,4.78510590277778,4,17.7
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",5.8,3.5875,3.55019583333333,0,24.05
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",4.475,-0.25,4.89805798611111,4,16.5
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",5.6125,1,4.06637430555556,4,9.1
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",6.025,4.25,3.58427777777778,1,21.15
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",6.15,4.4125,3.66807673611111,2,17.02
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",5,0.975,1.31030416666667,2,4.7
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",5,1.375,2.02375868055556,1,7
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",6.725,0.15,5.39406597222222,7,1.9
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",7.3,3.1375,6.30473159722222,7,3
"Bern","Schweiz",46.9484742,7.4521749,"Bern, Schweiz",6.425,1.3875,4.88843368055556,6,8.5
"Bornholm","Dänemark",55.1431224,14.9226297,"Bornholm, Dänemark",4.1875,0.5625,2.9241125,0,19.7
"Aarhus","Dänemark",56.1496278,10.2134046,"Aarhus, Dänemark",5.3,-0.275,2.41426354166667,3,7.6
"St. Moritz","Schweiz",46.4978958,9.8392428,"St. Moritz, Schweiz",5.575,-6.375,7.31231215277778,7,7.3
"Hvide Sande","Dänemark",56.0057884,8.1288435,"Hvide Sande, Dänemark",4.65,1.2,2.86941840277778,3,19.1
"Interlaken","Schweiz",46.6855231,7.8585139,"Interlaken, Schweiz",5.875,1.1375,5.099684375,5,14.1
"Bozen","Italien",46.4984781,11.3547399,"Bozen, Italien",7.55,3.4125,6.61870763888889,7,1.8
"Wien","Österreich",48.2083537,16.3725042,"Wien, Österreich",7,1.875,6.19517604166667,7,4.5
"Dijon","Frankreich",47.3306482417266,5.04637916570386,"Dijon, Frankreich",6.85,1.5375,4.80163854166667,6,5.2
"Ostrava","Tschechien",49.8357051466446,18.2847749462072,"Ostrava, Tschechien",6.5,-0.7,5.77029340277778,7,1.3
"Klagenfurt am Wörthersee","Österreich",46.623943,14.3075976,"Klagenfurt am Wörthersee, Österreich",6.825,0.0375,5.55299166666667,8,0
"Riva del Garda","Italien",45.8847708,10.8396942,"Riva del Garda, Italien",7.6,4.7,6.50465868055556,8,0
"Graz","Österreich",47.0708678,15.4382786,"Graz, Österreich",6.8,0.45,6.07783333333333,6,0.4
"Le Touquet-Paris-Plage","Frankreich",50.519693648444,1.5869973052921,"Le Touquet-Paris-Plage, Frankreich",6.975,6.8,3.91385659722222,4,3.3
"Bratislava","Slowakei",48.1516988,17.1093063,"Bratislava, Slowakei",6.775,1.2375,5.52920902777778,7,4
"Zermatt","Schweiz",46.0212076,7.749254,"Zermatt, Schweiz",5.95,-2.6875,6.59303333333333,6,16
"Bled","Slowenien",46.3684202,14.1100595,"Bled, Slowenien",6.775,0.6125,6.01518472222222,8,0
"Paris","Frankreich",48.8534951,2.3483915,"Paris, Frankreich",7.1,4.8875,4.61120243055556,5,3.05
"Norwich","England",52.6303076934772,1.29532126502049,"Norwich, England",7.425,4.0375,5.43481875,7,3
"Ipswich","England",52.0570559966874,1.15209854040659,"Ipswich, England",7.225,4.275,4.23737222222222,5,2.4
"Katowice","Polen",50.264663446807,19.0188489472198,"Katowice, Polen",6.025,-0.9625,4.6746625,3,3.5
"Torri del Benaco","Italien",45.6094493,10.6873869,"Torri del Benaco, Italien",7.65,5.7375,6.64071770833333,8,0
"Genf","Schweiz",46.2017559,6.1466014,"Genf, Schweiz",6.5,1.1625,5.75923090277778,6,13.4
"Sirmione","Italien",45.465106341539,10.6074284600272,"Sirmione, Italien",7.55,4.8625,6.07331215277778,8,0
"Mailand","Italien",45.4641943,9.1896346,"Mailand, Italien",7.675,4.4375,6.94325451388889,8,0
"Danzig","Polen",54.3706858,18.6129831,"Danzig, Polen",5.5625,-0.1875,3.36010069444444,6,2.22
"Maribor","Slowenien",46.5536194239738,15.6470952284808,"Maribor, Slowenien",6.4,0.5125,4.46808333333333,6,1.9
"Ljubljana","Slowenien",46.0500268,14.5069289,"Ljubljana, Slowenien",6.2,0.65,4.185528125,7,1.1
"Annecy","Frankreich",45.8992348,6.1288847,"Annecy, Frankreich",6.8,1.7875,5.72143506944444,6,8.8
"Venedig","Italien",45.4371908,12.3345898,"Venedig, Italien",7.45,4.5375,6.26570416666667,8,0
"Triest","Italien",45.651996855795,13.7625166166528,"Triest, Italien",7.125,5.95,4.962109375,6,0.68
"Cambridge","England",52.2039079652867,0.123678265263848,"Cambridge, England",7.35,4.7375,4.53958923611111,5,3.8
"Krakau","Polen",50.0619474,19.9368564,"Krakau, Polen",6.325,-0.1625,4.04234236111111,5,1.33
"Skagen","Dänemark",57.7259703,10.5844602,"Skagen, Dänemark",3.75,-0.2,0.892944791666667,2,6.68
"London","England",51.4893335,-0.1440551,"London, England",7.225,5.025,3.98066875,5,3.1
"Göteborg","Schweden",57.7072326,11.9670171,"Göteborg, Schweden",3.975,-1.7875,1.11885972222222,3,13.23
"Brighton","England",50.8214626,-0.1400561,"Brighton, England",7.325,5.7,4.57862569444444,5,1.9
"Zakopane","Polen",49.2969114,19.9504753,"Zakopane, Polen",4.65,-4.1,3.93929375,5,1.5
"Lyon","Frankreich",45.7578137,4.8320114,"Lyon, Frankreich",6.975,1.425,5.66304131944444,6,6.3
"Bourges","Frankreich",47.0816637770149,2.3971472645533,"Bourges, Frankreich",7.275,3.4125,5.57606701388889,6,4.3
"Rovinj","Kroatien",45.0807411,13.6417282,"Rovinj, Kroatien",6.95,6.8375,4.59318472222222,5,3
"Balaton","Ungarn",46.8839313,17.8476796,"Balaton, Ungarn",6.525,1.3125,4.11436076388889,6,0.6
"Zagreb","Kroatien",45.8130967,15.9772795,"Zagreb, Kroatien",5.6,1.5125,3.06861458333333,3,12.2
"Deauville","Frankreich",49.3575767556172,0.0714877491844544,"Deauville, Frankreich",6.475,7.2875,4.28409965277778,3,13.7
"Warschau","Polen",52.2319581,21.0067249,"Warschau, Polen",5.1625,-0.9375,1.30201006944444,3,3.48
"Hohe Tatra (Tatranská Lomnica)","Slowakei",49.13815,20.21931,"Hohe Tatra (Tatranská Lomnica), Slowakei",4.925,-4.7125,4.38405590277778,4,1.81
"Pula","Kroatien",44.8702281,13.8455311,"Pula, Kroatien",6.65,7.45,4.27917430555556,4,9.3
"Budapest","Ungarn",47.4970637896166,19.0389974414942,"Budapest, Ungarn",6.525,0.4875,4.20303368055556,6,1.8
"Kristiansand","Norwegen",58.1471572706719,7.9950701511758,"Kristiansand, Norwegen",5.55,-2.075,3.38426458333333,4,2.48
"Oxford","England",51.7521094440644,-1.25943310722207,"Oxford, England",7.125,5.175,4.19037256944444,3,2.94
"Cinque Terre","Italien",44.1222144,9.7132501,"Cinque Terre, Italien",7.3,9.65,5.986728125,6,1.93
"Isle of Wight","England",50.6985908387884,-1.29460617388774,"Isle of Wight, England",7.475,7,4.84417847222222,6,1.1
"Le Mans","Frankreich",48.0040247155424,0.196846381986147,"Le Mans, Frankreich",7.375,5.3375,4.63570277777778,7,1.3
"Clermont-Ferrand","Frankreich",45.7775124600661,3.08329535096197,"Clermont-Ferrand, Frankreich",6.875,2.0875,5.27281909722222,6,4.1
"York","England",53.9613991992233,-1.08076703662315,"York, England",7.45,4.9875,4.82231319444444,6,0.9
"Plitvicer Seen","Kroatien",44.8654878218141,15.5820762694377,"Plitvicer Seen, Kroatien",3.225,-1.025,4.46196666666667,1,43.17
"Rimini","Italien",44.0594531009706,12.5690522641146,"Rimini, Italien",6.475,6.9,4.392184375,5,26
