"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Füssen","Bayern","Füssen, Bayern","(BY)",4.25714285714286,-0.0142857142857143,3.40696150793651,2,35
"Bremen","Bremen","Bremen","(HB)",6.97142857142857,2.77142857142857,4.65198849206349,5,2
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein","(SH)",7.05714285714286,3.18571428571429,4.32906547619048,4,1.9
"Bamberg","Bayern","Bamberg, Bayern","(BY)",6.61428571428571,2.18571428571429,4.62465912698413,4,1
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg","(BW)",5.68571428571429,4.01428571428571,4.7676626984127,3,2.5
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",6.1,4.68571428571429,3.06725634920635,3,4.8
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",5.14285714285714,4.34285714285714,2.18460753968254,2,9.5
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",7.22857142857143,4.01428571428571,5.1945253968254,5,3.6
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",6.5,2.01428571428571,5.11445396825397,3,7.9
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",6.4,1.82857142857143,4.08304246031746,4,2
"Bremerhaven","Bremen","Bremerhaven","(HB)",6.77142857142857,3.52857142857143,4.11215277777778,4,2.1
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",6.71428571428571,1.42857142857143,4.6309369047619,5,10.2
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",7.34285714285714,3.14285714285714,5.25756547619048,5,0.9
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",5.78571428571429,3.21428571428571,3.80069722222222,3,14.5
"Weimar","Thüringen","Weimar, Thüringen","(TH)",6.94285714285714,2.38571428571429,4.64157142857143,3,3.9
"Würzburg","Bayern","Würzburg, Bayern","(BY)",6.84285714285714,2.74285714285714,5.26922698412698,5,0.9
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern","(MV)",7.02857142857143,1.61428571428571,4.69918055555556,6,0.6
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein","(SH)",6.77142857142857,5.97142857142857,3.22254523809524,3,10.4
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen","(NI)",6.68571428571429,3.92857142857143,3.46940714285714,4,1.7
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern","(MV)",7.2,3.01428571428571,5.23575119047619,5,1
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern","(MV)",7.28571428571429,2.6,5.13269801587302,5,1.6
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern","(BY)",4.95714285714286,1.01428571428571,5.10576111111111,4,3.7
"Bad Schandau","Sachsen","Bad Schandau, Sachsen","(SN)",6.97142857142857,2.41428571428571,4.63385396825397,5,6.3
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen","(NI)",6.85714285714286,3.05714285714286,4.35513888888889,5,1.5
"Regensburg","Bayern","Regensburg, Bayern","(BY)",6.21428571428571,1.08571428571429,5.76629285714286,3,18.2
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg","(BW)",4.12857142857143,1.5,4.53307222222222,3,7.9
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz","(RP)",5.74285714285714,4.48571428571429,2.38539682539683,3,6.8
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen","(NI)",6.88571428571429,3.57142857142857,3.77693888888889,6,1
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein","(SH)",7.08571428571429,4.22857142857143,3.78507222222222,4,1.1
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen","(NW)",5.71428571428571,4.28571428571429,3.31318174603175,2,13.2
