"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern","(MV)",5.4,-0.514285714285714,3.32887063492063,3,2.5
"Reit im Winkl","Bayern","Reit im Winkl, Bayern","(BY)",4.25714285714286,3.44285714285714,3.42302142857143,2,20.3
"Oberammergau","Bayern","Oberammergau, Bayern","(BY)",4.17142857142857,2.58571428571429,2.90258055555556,2,17.2
"Bad Wiessee","Bayern","Bad Wiessee, Bayern","(BY)",4.3,3.61428571428571,3.11188492063492,2,21
"Lenggries","Bayern","Lenggries, Bayern","(BY)",4.32857142857143,3.38571428571429,3.10564642857143,2,22.9
"Dinkelsbühl","Bayern","Dinkelsbühl, Bayern","(BY)",4.58571428571429,3.82857142857143,3.624825,1,6.2
"Schwäbisch Hall","Baden-Württemberg","Schwäbisch Hall, Baden-Württemberg","(BW)",4.48571428571429,5.18571428571429,3.92402857142857,0,12.4
"Plön","Schleswig-Holstein","Plön, Schleswig-Holstein","(SH)",5.11428571428571,0.457142857142857,2.80345158730159,3,5.3
"Malchow","Mecklenburg-Vorpommern","Malchow, Mecklenburg-Vorpommern","(MV)",5.41428571428571,-0.785714285714286,3.04703531746032,5,4.9
"Mirow","Mecklenburg-Vorpommern","Mirow, Mecklenburg-Vorpommern","(MV)",5.15714285714286,-1.07142857142857,2.60758531746032,4,3.8
"Neustrelitz","Mecklenburg-Vorpommern","Neustrelitz, Mecklenburg-Vorpommern","(MV)",5.27142857142857,-1.3,2.77639484126984,5,3.1
"Neubrandenburg","Mecklenburg-Vorpommern","Neubrandenburg, Mecklenburg-Vorpommern","(MV)",5.51428571428571,-1.35714285714286,3.1300126984127,5,3.1
"Bad Mergentheim","Baden-Württemberg","Bad Mergentheim, Baden-Württemberg","(BW)",4.7,5.25714285714286,3.45358412698413,1,7.5
"Bad Wimpfen","Baden-Württemberg","Bad Wimpfen, Baden-Württemberg","(BW)",4.34285714285714,5.3,2.78810674603175,0,9.7
"Saalfeld","Thüringen","Saalfeld, Thüringen","(TH)",4.71428571428571,3.88571428571429,2.10662777777778,2,7.3
"Wandlitz","Brandenburg","Wandlitz, Brandenburg","(BB)",4.74285714285714,-1.61428571428571,2.30843214285714,3,3.8
"Ramsau","Bayern","Ramsau, Bayern","(BY)",4.34285714285714,4.08571428571429,3.13962857142857,2,20.8
"Born a. Darß","Mecklenburg-Vorpommern","Born a. Darß, Mecklenburg-Vorpommern","(MV)",5.6,-0.185714285714286,3.72774087301587,5,2.9
"Putgarten","Mecklenburg-Vorpommern","Putgarten, Mecklenburg-Vorpommern","(MV)",5.54285714285714,0.514285714285714,3.12210952380952,3,3.4
