"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",6.4,3.4,5.85845,0,0.7
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",6.6,1,4.22033333333333,0,0.3
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",6,1.5,5.10540555555556,0,0.9
"Bremerhaven","Bremen","Bremerhaven","(HB)",4.8,3.1,6.02430833333333,0,1.2
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",6.8,1.6,5.65686666666667,0,0.2
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",6.6,2.5,4.04088055555556,0,0.9
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",6.4,6.4,6.71733888888889,0,1.1
"Weimar","Thüringen","Weimar, Thüringen","(TH)",6.8,1.6,6.44635277777778,0,0.6
"Würzburg","Bayern","Würzburg, Bayern","(BY)",7.2,1.6,6.80929722222222,1,0
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern","(MV)",6.6,1.5,3.52684722222222,1,0
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein","(SH)",5,6,5.978525,0,1.6
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen","(NI)",5.2,5.3,6.01969166666667,0,1.3
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern","(MV)",6.4,2.3,3.42192222222222,0,0.4
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern","(MV)",6.4,2.6,2.81623333333333,0,0.4
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern","(BY)",5.4,4.3,4.52180833333333,0,3.8
"Bad Schandau","Sachsen","Bad Schandau, Sachsen","(SN)",6.6,2.3,5.21654722222222,0,0.5
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen","(NI)",6,2.6,6.53619166666667,0,0.2
"Regensburg","Bayern","Regensburg, Bayern","(BY)",6.6,1.4,5.87028333333333,0,0.1
