"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg","(BW)",5.2875,7.225,4.77657743055556,4,30.09
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg","(BW)",4.1125,7.1125,4.47000034722222,2,27.33
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen","(NI)",4.475,5.6875,4.49432604166667,4,12.66
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern","(MV)",6.025,2.6625,7.20135034722222,2,9.41
"Hameln","Niedersachsen","Hameln, Niedersachsen","(NI)",4.75,6.4375,4.20693715277778,4,11.96
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen","(NW)",4.475,6.15,3.35783333333333,3,12.5
"Schillig","Niedersachsen","Schillig, Niedersachsen","(NI)",6.0625,5.35,5.90370902777778,4,12
"Rathen","Sachsen","Rathen, Sachsen","(SN)",4.3125,5.5875,4.07082395833333,3,19.2
"Meißen","Sachsen","Meißen, Sachsen","(SN)",4.525,5.725,4.01008298611111,3,13.89
"Rottach-Egern","Bayern","Rottach-Egern, Bayern","(BY)",3.6125,5.075,4.57434270833333,1,44.06
"Eltville am Rhein","Hessen","Eltville am Rhein, Hessen","(HE)",6.375,7.7875,5.25199409722222,4,10.2
"Bad Muskau","Sachsen","Bad Muskau, Sachsen","(SN)",5.025,4.575,4.10997604166667,3,11.6
"Boppard","Rheinland-Pfalz","Boppard, Rheinland-Pfalz","(RP)",5.4375,8.6625,4.80658333333333,1,11.45
"Bad Tölz","Bayern","Bad Tölz, Bayern","(BY)",3.725,5.2375,4.48199479166667,1,34.52
"Xanten","Nordrhein-Westfalen","Xanten, Nordrhein-Westfalen","(NW)",5.225,7.05,2.61326597222222,1,17.8
