"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern","(BY)",6.04,1.08,0.760782777777778,3,3.26
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen","(SN)",5.4,-2.68,2.25661888888889,2,4.48
"Baltrum","Niedersachsen","Baltrum, Niedersachsen","(NI)",5.84,0.64,1.86709944444444,3,0.9
"Langeoog","Niedersachsen","Langeoog, Niedersachsen","(NI)",5.96,0.64,1.71143722222222,2,0.98
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen","(NI)",5.84,0.12,1.25092388888889,3,0.2
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein","(SH)",6.28,0.06,0.656991111111111,5,0
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein","(SH)",6.36,-0.02,1.16238277777778,5,0
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt","(ST)",5.88,-1.78,1.85918055555556,5,0
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz","(RP)",4.86,4.66,0.518827222222222,0,7.22
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz","(RP)",4.36,4.46,0.344153888888889,0,9.76
"Meppen","Niedersachsen","Meppen, Niedersachsen","(NI)",5.62,0.74,3.32267055555556,1,4.96
"Wittenberge","Brandenburg","Wittenberge, Brandenburg","(BB)",5.52,-1.62,1.43810333333333,5,0
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg","(BB)",5.52,-2.48,1.57921833333333,5,0
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz","(RP)",4.2,2.08,0,0,7.9
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein","(SH)",6.4,-0.08,1.65430277777778,5,0
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen","(NI)",6.2,-0.24,1.44592277777778,5,0
"Tossens","Niedersachsen","Tossens, Niedersachsen","(NI)",6.08,-0.28,1.66658388888889,4,0
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen","(NI)",6.36,-0.74,1.27513055555556,5,0
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein","(SH)",6.32,-0.04,1.19907,5,0
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern","(MV)",6.24,-0.86,1.34817166666667,3,0.33
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern","(MV)",6.32,-1.3,1.24489111111111,5,0
