"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Wustrow","Mecklenburg-Vorpommern","Wustrow, Mecklenburg-Vorpommern","(MV)",8.66666666666667,9.28333333333333,13.8360777777778,5,0.05
"Hildesheim","Niedersachsen","Hildesheim, Niedersachsen","(NI)",8.96666666666667,14.1166666666667,13.1132726851852,5,0.1
"Kurort Oybin","Sachsen","Kurort Oybin, Sachsen","(SN)",8.83333333333333,12.05,13.177374537037,6,0
"Murnau am Staffelsee","Bayern","Murnau am Staffelsee, Bayern","(BY)",8.43333333333333,13.8833333333333,10.7073898148148,5,2.1
"Senftenberg","Brandenburg","Senftenberg, Brandenburg","(BB)",8.96666666666667,13.8833333333333,12.5244138888889,6,0
"Bad Salzuflen","Nordrhein-Westfalen","Bad Salzuflen, Nordrhein-Westfalen","(NW)",9,14.5,12.9553078703704,5,0.9
"Hann. Münden","Niedersachsen","Hann. Münden, Niedersachsen","(NI)",8.93333333333333,14.6833333333333,13.0712032407407,4,0.7
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg","(BW)",8.86666666666667,16.7,11.4854953703704,6,0
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg","(BW)",8.9,16.7666666666667,11.5914342592593,6,0
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen","(NI)",8.93333333333333,13.9666666666667,13.2045273148148,4,0.4
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern","(MV)",8.76666666666667,10.3833333333333,13.0104259259259,6,0
"Hameln","Niedersachsen","Hameln, Niedersachsen","(NI)",8.9,14.2333333333333,13.3821134259259,5,1
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen","(NW)",8.86666666666667,13.7,12.8360472222222,5,0.1
"Schillig","Niedersachsen","Schillig, Niedersachsen","(NI)",8.26666666666667,10.4666666666667,10.6645907407407,5,2.6
"Rathen","Sachsen","Rathen, Sachsen","(SN)",9,13.9333333333333,12.7945680555556,6,0
"Meißen","Sachsen","Meißen, Sachsen","(SN)",8.9,13.5833333333333,13.0442138888889,6,0
"Rottach-Egern","Bayern","Rottach-Egern, Bayern","(BY)",8.23333333333333,13.25,10.8818699074074,5,3.2
"Eltville am Rhein","Hessen","Eltville am Rhein, Hessen","(HE)",9,17.2166666666667,12.6455555555556,5,3
"Bad Muskau","Sachsen","Bad Muskau, Sachsen","(SN)",8.9,13.6333333333333,12.2785939814815,6,0
"Boppard","Rheinland-Pfalz","Boppard, Rheinland-Pfalz","(RP)",9.36666666666667,17.1166666666667,13.4597796296296,6,0
"Bad Tölz","Bayern","Bad Tölz, Bayern","(BY)",8.43333333333333,13.7166666666667,10.8178949074074,5,3.9
"Xanten","Nordrhein-Westfalen","Xanten, Nordrhein-Westfalen","(NW)",9.06666666666667,15.2166666666667,13.6325518518519,6,0
"Dahme","Schleswig-Holstein","Dahme, Schleswig-Holstein","(SH)",8.83333333333333,11.7666666666667,13.0330578703704,6,0
"Ruhpolding","Bayern","Ruhpolding, Bayern","(BY)",8.33333333333333,13.6666666666667,11.0396476851852,5,4.6
"Stade","Niedersachsen","Stade, Niedersachsen","(NI)",8.5,12.85,10.9160157407407,5,1
"Dangast","Niedersachsen","Dangast, Niedersachsen","(NI)",8.5,12.15,11.3116648148148,5,2.1
"Oberhausen","Nordrhein-Westfalen","Oberhausen, Nordrhein-Westfalen","(NW)",9.26666666666667,16.95,13.7519324074074,6,0
"Gießen","Hessen","Gießen, Hessen","(HE)",9.03333333333333,16.3166666666667,12.58945,5,0.7
"Siegen","Nordrhein-Westfalen","Siegen, Nordrhein-Westfalen","(NW)",9,15.5333333333333,12.8382097222222,5,0.2
"Hüde (Dümmer)","Niedersachsen","Hüde (Dümmer), Niedersachsen","(NI)",8.9,14.35,12.2805875,5,1.6
"Tübingen","Baden-Württemberg","Tübingen, Baden-Württemberg","(BW)",8.83333333333333,16.0666666666667,11.3175967592593,5,1.36
"Schneverdingen (Lüneburger Heide)","Niedersachsen","Schneverdingen (Lüneburger Heide), Niedersachsen","(NI)",8.76666666666667,13.3,12.1699305555556,5,0.7
"Landshut","Bayern","Landshut, Bayern","(BY)",8.66666666666667,15.5,11.181699537037,5,1.5
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern","(BY)",8.83333333333333,15.0333333333333,12.021087037037,5,0.9
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen","(SN)",8.63333333333333,8.98333333333333,12.8427050925926,6,0
"Baltrum","Niedersachsen","Baltrum, Niedersachsen","(NI)",8.63333333333333,9.83333333333333,11.9171398148148,6,0
"Langeoog","Niedersachsen","Langeoog, Niedersachsen","(NI)",8.6,9.81666666666667,11.8206671296296,6,0
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen","(NI)",8.3,10.1833333333333,10.6311773148148,5,2.8
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein","(SH)",8.46666666666667,9.76666666666667,11.4491773148148,5,0.9
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein","(SH)",8.53333333333333,10.55,11.6194074074074,5,0.6
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt","(ST)",8.93333333333333,13.7666666666667,13.3672689814815,6,0
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz","(RP)",8.76666666666667,15.8833333333333,11.4276296296296,5,2.7
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz","(RP)",8.83333333333333,16.6333333333333,11.4070652777778,5,2.9
"Meppen","Niedersachsen","Meppen, Niedersachsen","(NI)",9.03333333333333,14.6333333333333,13.7945310185185,6,0
"Wittenberge","Brandenburg","Wittenberge, Brandenburg","(BB)",8.9,13.7666666666667,13.1054898148148,5,0.1
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg","(BB)",8.96666666666667,13.45,13.4984726851852,6,0
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz","(RP)",9.03333333333333,14,13.492450462963,6,0
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein","(SH)",8.83333333333333,11.2666666666667,13.5668708333333,6,0
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen","(NI)",8.3,10.9833333333333,10.727712962963,5,2.7
"Tossens","Niedersachsen","Tossens, Niedersachsen","(NI)",8.33333333333333,11.0833333333333,10.5761324074074,5,2.5
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen","(NI)",8.23333333333333,10.55,10.6256162037037,5,3
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein","(SH)",8.63333333333333,11.4333333333333,11.8804675925926,5,0.6
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern","(MV)",8.73333333333333,10.1,13.7111324074074,5,0.15
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern","(MV)",8.76666666666667,10.8,13.658824537037,5,0.15
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern","(MV)",8.73333333333333,10.6833333333333,13.5879333333333,5,0.03
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern","(MV)",8.73333333333333,11.05,13.2749865740741,6,0
"Reit im Winkl","Bayern","Reit im Winkl, Bayern","(BY)",8.16666666666667,13.1333333333333,10.7962305555556,5,7.4
"Oberammergau","Bayern","Oberammergau, Bayern","(BY)",8.1,12.1333333333333,10.5981814814815,4,5.7
"Bad Wiessee","Bayern","Bad Wiessee, Bayern","(BY)",8.26666666666667,13.4833333333333,10.886225,5,3.2
"Lenggries","Bayern","Lenggries, Bayern","(BY)",8.43333333333333,13.5,10.7555268518519,5,3.2
"Dinkelsbühl","Bayern","Dinkelsbühl, Bayern","(BY)",8.9,14.4333333333333,12.3528592592593,5,0.3
"Schwäbisch Hall","Baden-Württemberg","Schwäbisch Hall, Baden-Württemberg","(BW)",8.96666666666667,15.4833333333333,11.9553217592593,5,0.9
"Plön","Schleswig-Holstein","Plön, Schleswig-Holstein","(SH)",8.86666666666667,12.7333333333333,12.7645694444444,6,0
"Malchow","Mecklenburg-Vorpommern","Malchow, Mecklenburg-Vorpommern","(MV)",8.8,12.7333333333333,13.1679027777778,6,0
"Mirow","Mecklenburg-Vorpommern","Mirow, Mecklenburg-Vorpommern","(MV)",8.8,12.7666666666667,13.2008291666667,6,0
"Neustrelitz","Mecklenburg-Vorpommern","Neustrelitz, Mecklenburg-Vorpommern","(MV)",8.83333333333333,12.8,13.2219625,6,0
"Neubrandenburg","Mecklenburg-Vorpommern","Neubrandenburg, Mecklenburg-Vorpommern","(MV)",8.86666666666667,12.7833333333333,13.4021115740741,6,0
"Bad Mergentheim","Baden-Württemberg","Bad Mergentheim, Baden-Württemberg","(BW)",9,15.8666666666667,12.0701134259259,5,1.1
"Bad Wimpfen","Baden-Württemberg","Bad Wimpfen, Baden-Württemberg","(BW)",8.96666666666667,16.3333333333333,11.5838055555556,5,1.7
"Saalfeld","Thüringen","Saalfeld, Thüringen","(TH)",8.83333333333333,14.4,13.2006356481481,5,1
"Wandlitz","Brandenburg","Wandlitz, Brandenburg","(BB)",8.9,13.0666666666667,13.4250638888889,6,0
"Ramsau","Bayern","Ramsau, Bayern","(BY)",7.31666666666667,12.9333333333333,11.0313356481481,3,5.9
"Born a. Darß","Mecklenburg-Vorpommern","Born a. Darß, Mecklenburg-Vorpommern","(MV)",8.76666666666667,10.1666666666667,13.8731282407407,5,0.03
"Putgarten","Mecklenburg-Vorpommern","Putgarten, Mecklenburg-Vorpommern","(MV)",8.76666666666667,9.66666666666667,13.9306842592593,5,0.11
