"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern",49.0351626271635,11.4697158093024,8.54285714285714,17.5,11.2790694444444,5,11.6
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen",50.4187418658363,12.967370358626,8.45714285714286,13.2571428571429,11.850794047619,6,2.4
"Baltrum","Niedersachsen","Baltrum, Niedersachsen",53.7281738001376,7.37036440393553,8.25714285714286,14.5714285714286,12.3414484126984,4,3.3
"Langeoog","Niedersachsen","Langeoog, Niedersachsen",53.7467330992247,7.48134306203962,8.22857142857143,14.5714285714286,12.3394226190476,4,3.3
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen",53.7702849677092,7.69316704137735,8.37142857142857,16,11.4223384920635,3,4.3
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein",54.6578086445194,8.34173455299789,7.94285714285714,12.3142857142857,11.7030738095238,4,23
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein",54.5303839848622,8.65633156877291,8.02857142857143,13.1285714285714,11.6353388888889,4,11.9
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt",52.5495571740673,11.9672024763568,9.08571428571429,18.6285714285714,13.0228484126984,6,3.1
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz",49.4391520171103,7.74128080371198,8.74285714285714,18.5142857142857,11.5685182539683,6,1.8
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz",49.3527633909622,8.13483094557629,8.91428571428571,19.3285714285714,11.3628349206349,7,0
"Meppen","Niedersachsen","Meppen, Niedersachsen",52.6908749099231,7.29166504274259,8.65714285714286,17.7857142857143,13.3877507936508,4,10.3
"Wittenberge","Brandenburg","Wittenberge, Brandenburg",52.9945813766268,11.7557975013472,9.05714285714286,18.5571428571429,13.5746968253968,5,3
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg",52.3433973213344,14.5533251747465,9.17142857142857,18.7428571428571,13.160426984127,5,1
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz",50.1960103370026,6.83378445768663,7.48571428571429,15.6,12.4954051587302,4,19.7
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein",54.4372,11.1973,8.31428571428571,14.9,11.9624924603175,4,8.8
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen",53.6277573442887,8.02759247020507,8.45714285714286,16.8428571428571,11.9622067460317,4,4.9
"Tossens","Niedersachsen","Tossens, Niedersachsen",53.5756207138559,8.25178008721835,8.48571428571429,17.0285714285714,11.9603146825397,4,4.6
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen",53.7370373987849,8.51644528263841,8.45714285714286,15.4714285714286,12.6498031746032,4,4.9
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein",54.4919,8.8467,8.17142857142857,14.3,11.4278472222222,4,12
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern",54.5677,13.4514,8.54285714285714,14.5714285714286,12.4837936507937,5,4.2
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern",54.3631031374363,13.706955244393,8.65714285714286,14.7571428571429,12.6410365079365,5,3.7
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern",54.2783849535508,13.7157015102308,8.65714285714286,14.6714285714286,12.7058861111111,5,3.7
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern",54.1354,13.6146,8.65714285714286,15.5714285714286,11.8493543650794,4,3
"Reit im Winkl","Bayern","Reit im Winkl, Bayern",47.6773489563139,12.4699061352574,8.31428571428571,15.9857142857143,11.8827599206349,4,26.3
"Oberammergau","Bayern","Oberammergau, Bayern",47.5987,11.0634,7.45714285714286,14.9285714285714,10.5375424603175,4,18.8
"Bad Wiessee","Bayern","Bad Wiessee, Bayern",47.7115,11.7254,8.12857142857143,15.9571428571429,11.8207003968254,5,15.9
"Lenggries","Bayern","Lenggries, Bayern",47.6836,11.5679,8.22857142857143,16.1142857142857,11.2950297619048,5,18.5
"Dinkelsbühl","Bayern","Dinkelsbühl, Bayern",49.0687,10.3214,8.45714285714286,16.7285714285714,10.7743777777778,5,4.4
"Schwäbisch Hall","Baden-Württemberg","Schwäbisch Hall, Baden-Württemberg",49.1124,9.7392,8.57142857142857,17.9142857142857,10.8378948412698,5,3.2
"Plön","Schleswig-Holstein","Plön, Schleswig-Holstein",54.1626,10.4215,8.51428571428571,16.3857142857143,12.035919047619,4,10.8
"Malchow","Mecklenburg-Vorpommern","Malchow, Mecklenburg-Vorpommern",53.474410357379,12.4261094776683,8.85714285714286,17.4285714285714,12.895798015873,5,3.9
"Mirow","Mecklenburg-Vorpommern","Mirow, Mecklenburg-Vorpommern",53.2765361365924,12.8106031893074,8.91428571428571,17.6142857142857,12.898873015873,4,4.2
"Neustrelitz","Mecklenburg-Vorpommern","Neustrelitz, Mecklenburg-Vorpommern",53.3605,13.0734,8.97142857142857,17.6,13.0563242063492,4,2.5
"Neubrandenburg","Mecklenburg-Vorpommern","Neubrandenburg, Mecklenburg-Vorpommern",53.5566,13.2612,8.94285714285714,17.5428571428571,12.9398535714286,4,3.2
"Bad Mergentheim","Baden-Württemberg","Bad Mergentheim, Baden-Württemberg",49.4925,9.7736,8.8,18.3571428571429,10.9198603174603,5,1.1
"Bad Wimpfen","Baden-Württemberg","Bad Wimpfen, Baden-Württemberg",49.2298,9.1571,8.82857142857143,18.6571428571429,11.705975,4,1.2
"Saalfeld","Thüringen","Saalfeld, Thüringen",50.6481,11.3672,8.97142857142857,17.8428571428571,12.4642571428571,6,0.2
"Wandlitz","Brandenburg","Wandlitz, Brandenburg",52.7505,13.4523,9.14285714285714,18.5571428571429,13.1102376984127,4,1.6
"Ramsau","Bayern","Ramsau, Bayern",47.6072716372704,12.8976367115162,8.22857142857143,16.0428571428571,11.6677444444444,5,20.1
"Born a. Darß","Mecklenburg-Vorpommern","Born a. Darß, Mecklenburg-Vorpommern",54.3820440085908,12.5249920620039,8.57142857142857,14.6714285714286,12.840446031746,5,3.8
"Putgarten","Mecklenburg-Vorpommern","Putgarten, Mecklenburg-Vorpommern",54.672676968303,13.4157515390357,8.51428571428571,13.7142857142857,12.4854920634921,5,4.2
