"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Bansin","Mecklenburg-Vorpommern","Bansin, Mecklenburg-Vorpommern",53.9690358,14.1391435,5.58,-2.05,3.78557694444444,6,7.2
"Bensersiel","Niedersachsen","Bensersiel, Niedersachsen",53.6742688,7.574467,5.5,-1.05,1.64911277777778,6,2.5
"Bonn","Nordrhein-Westfalen","Bonn, Nordrhein-Westfalen",50.7352621,7.1024635,5.64,5.58,1.71265388888889,4,20.75
"Karlsruhe","Baden-Württemberg","Karlsruhe, Baden-Württemberg",49.0068705,8.4034195,6.88,6.26,4.10942694444444,6,3.2
"Aachen","Nordrhein-Westfalen","Aachen, Nordrhein-Westfalen",50.776351,6.083862,5.69,6.27,2.19644138888889,3,16.35
"Passau","Bayern","Passau, Bayern",48.5748229,13.4609744,7.22,4.01,5.04256694444444,7,2.6
"Flensburg","Schleswig-Holstein","Flensburg, Schleswig-Holstein",54.7833021,9.4333264,6.04,0.2,3.61270361111111,6,10.96
"Wiesbaden","Hessen","Wiesbaden, Hessen",50.0820384,8.2416556,6.8,4.47,3.49102833333333,6,4.7
"Quedlinburg","Sachsen-Anhalt","Quedlinburg, Sachsen-Anhalt",51.7855428,11.1519933,6.6,1.34,3.87854833333333,7,1.4
"Magdeburg","Sachsen-Anhalt","Magdeburg, Sachsen-Anhalt",52.1315889,11.6399609,6.66,0.8,3.99810194444444,7,0.7
"Bad Reichenhall","Bayern","Bad Reichenhall, Bayern",47.7222676,12.8760923,6.96,5.99,5.51936583333333,5,9.7
"Goslar","Niedersachsen","Goslar, Niedersachsen",51.9059936,10.4266284,6.66,1.59,3.99396388888889,6,3
"Prerow","Mecklenburg-Vorpommern","Prerow, Mecklenburg-Vorpommern",54.445906,12.5660206,6.14,-0.41,4.06826138888889,6,8.5
"Baden-Baden","Baden-Württemberg","Baden-Baden, Baden-Württemberg",48.7610716,8.239959,6.86,7.12,4.63124805555556,5,6.6
"Augsburg","Bayern","Augsburg, Bayern",48.3690341,10.8979522,7,3.52,3.88148111111111,8,2.8
"Eckernförde","Schleswig-Holstein","Eckernförde, Schleswig-Holstein",54.4716456,9.8374947,5.92,0.28,3.51927722222222,5,8.2
"Edersee","Hessen","Edersee, Hessen",51.1873377,8.9925823,6.7,2.69,3.98986722222222,5,4.7
"Rust","Baden-Württemberg","Rust, Baden-Württemberg",48.2659347,7.7263213,6.94,6.99,3.95993916666667,6,6.3
"Willingen","Hessen","Willingen, Hessen",51.294451454558,8.60517952010764,6.42,1.41,4.04340305555556,3,8.5
"Emden","Niedersachsen","Emden, Niedersachsen",53.3670541,7.2058304,5.64,-0.84,2.2129725,7,3.6
"Göttingen","Niedersachsen","Göttingen, Niedersachsen",51.5328328,9.9351811,6.74,2.54,4.25310638888889,6,5.2
"Plau am See","Mecklenburg-Vorpommern","Plau am See, Mecklenburg-Vorpommern",53.4600943,12.2631689,5.98,-1.42,3.61633222222222,6,2.2
"Eisenach","Thüringen","Eisenach, Thüringen",50.9747134,10.3193565,6.6,2.25,3.28050361111111,6,3.63
"Wangerooge","Niedersachsen","Wangerooge, Niedersachsen",53.7891528,7.9016018,5.88,1.11,3.33026972222222,6,5.1
"Winterberg","Nordrhein-Westfalen","Winterberg, Nordrhein-Westfalen",51.1930723,8.5338466,6.26,0.88,3.95423805555556,4,7.8
"Rothenburg ob der Tauber","Bayern","Rothenburg ob der Tauber, Bayern",49.3772526,10.1790017,7.12,3.28,4.44849527777778,8,0.5
"Ulm","Baden-Württemberg","Ulm, Baden-Württemberg",48.3984968,9.9912458,6.68,3.26,3.54079277777778,7,2.1
"Bielefeld","Nordrhein-Westfalen","Bielefeld, Nordrhein-Westfalen",52.0191005,8.531007,6.58,3.72,3.42600888888889,5,7.8
"Bad Neuenahr-Ahrweiler","Rheinland-Pfalz","Bad Neuenahr-Ahrweiler, Rheinland-Pfalz",50.5444551,7.1186671,5.78,5.55,1.59885611111111,5,20.88
"Schliersee","Bayern","Schliersee, Bayern",47.7345915,11.8620286,7.06,4.81,6.19832777777778,6,12.6
"Essen","Nordrhein-Westfalen","Essen, Nordrhein-Westfalen",51.4582235,7.0158171,5.68,3.85,1.59503055555556,4,14.25
"Monschau","Nordrhein-Westfalen","Monschau, Nordrhein-Westfalen",50.5544687,6.2407954,5.55,4.54,1.84993777777778,3,14.31
"Fulda","Hessen","Fulda, Hessen",50.5542328,9.6770448,6.92,3.51,3.87128527777778,7,1.7
"Ostseebad Sellin","Mecklenburg-Vorpommern","Ostseebad Sellin, Mecklenburg-Vorpommern",54.3770567,13.6942765,6.04,-0.88,3.51889222222222,6,8.2
"Osnabrück","Niedersachsen","Osnabrück, Niedersachsen",52.2770300033127,8.0448701283995,6.44,3.39,4.11155861111111,5,8
"Braunschweig","Niedersachsen","Braunschweig, Niedersachsen",52.2646577,10.5236066,6.58,0.91,4.21834666666667,6,1.9
"Mittenwald","Bayern","Mittenwald, Bayern",47.4429543,11.2655684,7.28,5.52,5.84286472222222,7,3.5
"Lübbenau","Brandenburg","Lübbenau, Brandenburg",51.8680114,13.9689477,6.14,0.2,2.79035444444444,8,2.1
"Marburg an der Lahn","Hessen","Marburg an der Lahn, Hessen",50.80904,8.77069,6.56,3,3.73408527777778,5,6.4
"Dierhagen","Mecklenburg-Vorpommern","Dierhagen, Mecklenburg-Vorpommern",54.2918991,12.351915,5.96,-0.75,4.06795777777778,6,10.6
"Oberstaufen","Bayern","Oberstaufen, Bayern",47.5538255,10.0208307,7.22,4.96,6.49257944444444,6,9.3
"Bad Saarow","Brandenburg","Bad Saarow, Brandenburg",52.2922975,14.0552305,6.32,-0.15,3.52525222222222,8,2
"Burg (Spreewald)","Brandenburg","Burg (Spreewald), Brandenburg",51.8363445297827,14.1450314477017,6.04,0.15,2.62783555555556,8,3.76
"Oldenburg","Niedersachsen","Oldenburg, Niedersachsen",53.1389753,8.2146017,6.24,1.11,3.81164472222222,5,4.3
"Duisburg","Nordrhein-Westfalen","Duisburg, Nordrhein-Westfalen",51.434999,6.759562,5.76,4.19,1.69872416666667,4,17.1
"Sassnitz","Mecklenburg-Vorpommern","Sassnitz, Mecklenburg-Vorpommern",54.516728,13.644119,6.12,-0.56,3.56930361111111,7,9.3
"Greifswald","Mecklenburg-Vorpommern","Greifswald, Mecklenburg-Vorpommern",54.095791,13.3815238,5.82,-1.47,3.66620694444444,7,5.1
"Heiligendamm","Mecklenburg-Vorpommern","Heiligendamm, Mecklenburg-Vorpommern",54.1423664,11.842199,6.04,-0.98,3.70395583333333,5,11.2
