"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",3.1,2.3,2.96731111111111,0,8.04
"Bremerhaven","Bremen","Bremerhaven","(HB)",4.1,2,0,0,9.26
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",3.9,0.55,2.21292916666667,1,3.6
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",4,-0.65,0.917798611111111,0,2.8
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",3.8,5.9,2.93162638888889,0,4.1
"Weimar","Thüringen","Weimar, Thüringen","(TH)",4.55,3.25,3.08462777777778,1,0.6
"Würzburg","Bayern","Würzburg, Bayern","(BY)",2.4,3.7,3.4655125,0,1.5
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern","(MV)",3.75,1.4,0,0,10.05
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein","(SH)",5.5,1.6,2.90230138888889,0,4.8
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen","(NI)",4.2,2.55,0,0,8.66
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern","(MV)",4.6,0.35,0,0,5.3
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern","(MV)",3.8,-0.9,1.39285277777778,0,2.6
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern","(BY)",3,4.25,2.93743611111111,0,14.05
"Bad Schandau","Sachsen","Bad Schandau, Sachsen","(SN)",3.1,0.9,1.25085972222222,1,5
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen","(NI)",3.1,2.7,0,0,8.9
"Regensburg","Bayern","Regensburg, Bayern","(BY)",2.15,1.55,0.368518055555556,0,3.46
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg","(BW)",1.1,2.95,3.34005416666667,0,16.36
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz","(RP)",2.9,4.7,0,0,9
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen","(NI)",4,2.3,0,0,8.65
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein","(SH)",4,1.8,0,0,13.4
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen","(NW)",3.7,3.9,3.38288333333333,0,13
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen","(NI)",4.1,2.6,0,0,9
"Kassel","Hessen","Kassel, Hessen","(HE)",2.8,2.3,2.85773194444444,0,3.75
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg","(BW)",2.7,5,2.42606111111111,0,4.76
"Mainz","Rheinland-Pfalz","Mainz, Rheinland-Pfalz","(RP)",2.1,4.05,2.61018472222222,0,2.35
"Helgoland","Schleswig-Holstein","Helgoland, Schleswig-Holstein","(SH)",3.15,5.35,0,0,17.3
"Mannheim","Baden-Württemberg","Mannheim, Baden-Württemberg","(BW)",3.55,4.25,3.17917361111111,0,2.45
"Überlingen","Baden-Württemberg","Überlingen, Baden-Württemberg","(BW)",3,5.75,2.94011944444444,0,4.8
"Bansin","Mecklenburg-Vorpommern","Bansin, Mecklenburg-Vorpommern","(MV)",3.8,-0.95,1.11146111111111,0,3
"Bensersiel","Niedersachsen","Bensersiel, Niedersachsen","(NI)",4.1,1.7,3.11758333333333,1,12.7
