"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Ericeira","Portugal :pt:",8.7,15.65,8.84172777777778,2,0
"Lissabon","Portugal :pt:",8.8,15.75,8.85099305555556,2,0
"Chania","Griechenland :gr:",9.2,20.15,7.94818611111111,2,0
"Tromsø","Norwegen :no:",2.8,1.75,0,0,10.9
"Bodrum","Türkei :tr:",8.6,19.85,8.11801805555556,1,0.6
"Cádiz","Spanien :es:",9,16.25,8.99079583333333,2,0
"Tarifa","Spanien :es:",9,17.35,9.04417083333333,2,0
"Faro","Portugal :pt:",9,17.25,8.968325,2,0
"Heraklion","Griechenland :gr:",9.6,22.1,8.67165694444444,2,0
"Lagos","Portugal :pt:",9.1,17.7,8.96812222222222,2,0
"Rhodos","Griechenland :gr:",8.3,19.6,7.93154722222222,1,2.5
"Fethiye","Türkei :tr:",9.2,20.2,8.85084722222222,2,0
"Antalya","Türkei :tr:",8.3,18.3,8.51272361111111,0,2.6
"Side","Türkei :tr:",8.8,20.55,7.21008055555556,2,0
"Reykjavik","Island :is:",4.8,2.9,0.299506944444444,0,7.7
"Kappadokien","Türkei :tr:",8.8,14.4,8.86497777777778,2,0
"Paphos","Zypern :cy:",9.3,21,9.08093055555556,2,0
"Nikosia","Zypern :cy:",9.5,21.8,9.03364305555555,2,0
"Ayia Napa","Zypern :cy:",9.3,21.65,9.05198472222222,1,0.2
"Jönköping","Schweden :se:",6.4,2.3,1.78621805555556,1,0.2
"Örebro","Schweden :se:",5,1,0.553136111111111,1,6.6
"Mora","Schweden :se:",5.4,-0.1,1.11927638888889,1,0.3
