"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Jena","Thüringen","Jena, Thüringen",50.9281717,11.5879359,6.825,4.625,3.33328888888889,6,5.3
"Zell (Mosel)","Rheinland-Pfalz","Zell (Mosel), Rheinland-Pfalz",50.0275681,7.1813233,5.275,6.7875,1.18817604166667,1,18.4
"Pirna","Sachsen","Pirna, Sachsen",50.9616923,13.9386643,6.8,3.625,2.86713819444444,5,1.9
"Bochum","Nordrhein-Westfalen","Bochum, Nordrhein-Westfalen",51.4818111,7.2196635,5.8375,6.8,2.22761423611111,2,13.5
"Laboe","Schleswig-Holstein","Laboe, Schleswig-Holstein",54.4022528,10.2256616,6.6,5.7125,2.29669895833333,4,3.1
"Chemnitz","Sachsen","Chemnitz, Sachsen",50.8323531,12.918914,6.75,3.6875,3.27835555555556,4,4.4
"Grainau","Bayern","Grainau, Bayern",47.4753212,11.0259498,5.6,3.3375,4.11180277777778,5,18.2
"Limburg an der Lahn","Hessen","Limburg an der Lahn, Hessen",50.3884045153577,8.0629087965473,6.5,5.3625,2.14346840277778,5,4.5
"Leer","Niedersachsen","Leer, Niedersachsen",53.2308882349724,7.46001541088294,6.25,6.45,1.312115625,2,10.3
"Bad Harzburg","Niedersachsen","Bad Harzburg, Niedersachsen",51.88286088265,10.5590793195608,7.125,5.125,4.29538645833333,7,3
"Hopfen am See","Bayern","Hopfen am See, Bayern",47.6083038,10.6773587,5.0125,2.15,4.24639097222222,4,13.5
"Hohwacht (Ostsee)","Schleswig-Holstein","Hohwacht (Ostsee), Schleswig-Holstein",54.32078,10.67021,6.8,5.9625,2.52923263888889,6,2.1
"Heilbronn","Baden-Württemberg","Heilbronn, Baden-Württemberg",49.142291,9.218655,5.925,5.825,2.75121527777778,3,8.9
"Schwangau","Bayern","Schwangau, Bayern",47.576803,10.7373475,5.375,2.175,4.23686319444444,4,13.5
"Tegernsee","Bayern","Tegernsee, Bayern",47.7099191,11.7543337,5.3,2.5625,3.97147847222222,4,18.6
"Wustrow","Mecklenburg-Vorpommern","Wustrow, Mecklenburg-Vorpommern",54.3485481,12.3947297,6.5,5.65,2.81660208333333,4,7.5
"Hildesheim","Niedersachsen","Hildesheim, Niedersachsen",52.1527188,9.9518083,6.925,5.25,3.78381701388889,5,3.8
"Kurort Oybin","Sachsen","Kurort Oybin, Sachsen",50.8420861,14.74301,5.925,0.3,2.903553125,4,6.8
"Murnau am Staffelsee","Bayern","Murnau am Staffelsee, Bayern",47.6778816,11.2011903,5.6,2.0625,4.22386631944444,4,9.9
"Senftenberg","Brandenburg","Senftenberg, Brandenburg",51.5191742,14.0046541,6.875,3.4,2.79187847222222,5,0.8
"Bad Salzuflen","Nordrhein-Westfalen","Bad Salzuflen, Nordrhein-Westfalen",52.0771518,8.7554739,6.625,5.8375,2.53118159722222,5,3
"Hann. Münden","Niedersachsen","Hann. Münden, Niedersachsen",51.4161908,9.6550096,6.55,4.6625,1.97609930555556,6,2.9
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg",47.6749642,9.3161678,5.9,5.175,3.329271875,4,33.5
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg",47.5994365,9.5381305,4.9,5.65,3.61377743055556,3,41
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen",52.4205588,10.7861682,6.975,5.05,3.94521423611111,7,3
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern",54.1067652,11.6171165,6.55,5.25,2.89743784722222,4,5.9
"Hameln","Niedersachsen","Hameln, Niedersachsen",52.1039941,9.3561569,6.775,5.2375,3.2091875,6,2.4
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen",51.4972173527814,8.12935256996022,6.475,5.5875,3.26880902777778,4,3.6
"Schillig","Niedersachsen","Schillig, Niedersachsen",53.7033668,8.0235529,6.625,6.875,2.66606493055556,4,2.1
"Rathen","Sachsen","Rathen, Sachsen",50.958235,14.0824651,6.75,3.175,2.81640520833333,5,1.1
"Meißen","Sachsen","Meißen, Sachsen",51.1630871,13.4704939,6.875,3.9125,2.99875729166667,4,1.4
