"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Bad Salzuflen","Nordrhein-Westfalen","Bad Salzuflen, Nordrhein-Westfalen",52.0771518,8.7554739,6,8.22,1.22120944444444,2,4.6
"Hann. Münden","Niedersachsen","Hann. Münden, Niedersachsen",51.4161908,9.6550096,6.36,7.58,1.57613666666667,2,4.3
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg",47.6749642,9.3161678,7.28,5.18,6.00823444444444,4,0
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg",47.5994365,9.5381305,7.44,6.26,5.33533,5,0
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen",52.4205588,10.7861682,6.04,6.96,0.914631666666667,1,7.8
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern",54.1067652,11.6171165,5.2,4.8,0.0227888888888889,0,4.66
"Hameln","Niedersachsen","Hameln, Niedersachsen",52.1039941,9.3561569,6.04,7.72,1.16480222222222,1,6.6
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen",51.4972173527814,8.12935256996022,6,8.36,2.21515388888889,1,5
"Schillig","Niedersachsen","Schillig, Niedersachsen",53.7033668,8.0235529,5.64,6.66,0,1,2.2
"Rathen","Sachsen","Rathen, Sachsen",50.958235,14.0824651,5.44,5.02,0.985183888888889,3,4
"Meißen","Sachsen","Meißen, Sachsen",51.1630871,13.4704939,6.12,6.98,1.74293277777778,2,4.8
"Rottach-Egern","Bayern","Rottach-Egern, Bayern",47.6909599,11.7707109,7.72,7.16,5.85066111111111,5,0
"Eltville am Rhein","Hessen","Eltville am Rhein, Hessen",50.0275441,8.1189741,6.76,8.38,2.33370777777778,2,1.7
"Bad Muskau","Sachsen","Bad Muskau, Sachsen",51.5470046,14.7215146,5.62,5.08,0.786777777777778,2,4
"Boppard","Rheinland-Pfalz","Boppard, Rheinland-Pfalz",50.2312823,7.5885884,6.76,8.62,2.11759055555556,3,3.4
"Bad Tölz","Bayern","Bad Tölz, Bayern",47.7610013,11.559607,7.64,6.28,5.74436333333333,5,0
"Xanten","Nordrhein-Westfalen","Xanten, Nordrhein-Westfalen",51.661519,6.4543203,5.76,7.6,1.78981166666667,1,5.2
"Dahme","Schleswig-Holstein","Dahme, Schleswig-Holstein",54.2241115621384,11.0833423613602,5.42,4.74,0.00868944444444444,1,3.95
"Ruhpolding","Bayern","Ruhpolding, Bayern",47.7620099,12.6459934,7.68,8.26,5.97484,5,0
"Stade","Niedersachsen","Stade, Niedersachsen",53.599794,9.475438,5.22,5.28,0,1,6.9
"Dangast","Niedersachsen","Dangast, Niedersachsen",53.446,8.11942,5.42,6.88,0,1,3.1
"Oberhausen","Nordrhein-Westfalen","Oberhausen, Nordrhein-Westfalen",51.4696137,6.8514435,5.38,7.88,1.65294166666667,1,7.16
"Gießen","Hessen","Gießen, Hessen",50.5862066,8.6742306,5.44,6.92,1.23297833333333,1,6.1
"Siegen","Nordrhein-Westfalen","Siegen, Nordrhein-Westfalen",50.872468858478,8.01724006147392,5.08,7.8,1.03939166666667,1,6.9
"Hüde (Dümmer)","Niedersachsen","Hüde (Dümmer), Niedersachsen",52.4957057182991,8.35702257955932,6.12,8.22,1.1313,1,6.6
"Tübingen","Baden-Württemberg","Tübingen, Baden-Württemberg",48.521979326383,9.05314167762481,7.16,9.14,4.033615,3,3.6
"Schneverdingen (Lüneburger Heide)","Niedersachsen","Schneverdingen (Lüneburger Heide), Niedersachsen",53.1176969304136,9.79886928393745,5.3,5.54,0.0808544444444445,1,8.3
"Landshut","Bayern","Landshut, Bayern",48.5422055020111,12.1340525008621,7.24,4.66,4.32319666666667,4,0.2
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern",49.0351626271635,11.4697158093024,7.12,5.54,4.31933055555556,3,2.4
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen",50.4187418658363,12.967370358626,5.92,2.06,2.76120277777778,2,4.9
"Baltrum","Niedersachsen","Baltrum, Niedersachsen",53.7281738001376,7.37036440393553,5.6,6.08,1.96282333333333,0,7.9
"Langeoog","Niedersachsen","Langeoog, Niedersachsen",53.7467330992247,7.48134306203962,5.6,6.08,1.96282333333333,0,7.9
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen",53.7702849677092,7.69316704137735,5.6,6.84,0,1,2.4
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein",54.6578086445194,8.34173455299789,5.58,5.58,0.941917222222222,1,3.3
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein",54.5303839848622,8.65633156877291,5.32,5.18,0.75391,1,3.1
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt",52.5495571740673,11.9672024763568,5.84,4.42,0.697970555555556,1,7.3
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz",49.4391520171103,7.74128080371198,5.56,8.8,1.91753722222222,1,3.4
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz",49.3527633909622,8.13483094557629,5.84,10.24,1.58542055555556,2,1.1
"Meppen","Niedersachsen","Meppen, Niedersachsen",52.6908749099231,7.29166504274259,5.34,6.68,0.341762222222222,1,5.6
"Wittenberge","Brandenburg","Wittenberge, Brandenburg",52.9945813766268,11.7557975013472,5.38,4.32,0.227948888888889,1,7.8
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg",52.3433973213344,14.5533251747465,6.4,3.86,1.25661611111111,3,1.6
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz",50.1960103370026,6.83378445768663,5.92,4.86,0.412276666666667,1,6.06
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein",54.4372,11.1973,5.4,4.94,0.331461111111111,1,2.75
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen",53.6277573442887,8.02759247020507,5.68,6.74,0,2,2
"Tossens","Niedersachsen","Tossens, Niedersachsen",53.5756207138559,8.25178008721835,5.42,6.36,0,1,2.9
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen",53.7370373987849,8.51644528263841,5.2,5.62,0,1,3.1
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein",54.4919,8.8467,5.32,4.68,0.781655555555556,1,3.3
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern",54.5677,13.4514,5.16,3.52,1.10138888888889,1,5.6
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern",54.3631031374363,13.706955244393,5.16,3.3,0.601339444444444,2,5.36
"Thiessow","Mecklenburg-Vorpommern","Thiessow, Mecklenburg-Vorpommern",54.2783849535508,13.7157015102308,5.08,3.04,0.171023333333333,2,4.95
"Lubmin","Mecklenburg-Vorpommern","Lubmin, Mecklenburg-Vorpommern",54.1354,13.6146,5.08,3.04,0.0310705555555556,2,4.75
"Reit im Winkl","Bayern","Reit im Winkl, Bayern",47.6773489563139,12.4699061352574,7.8,7.76,5.90834,5,0
"Oberammergau","Bayern","Oberammergau, Bayern",47.5987,11.0634,7.6,7.56,5.40737333333333,5,0
"Bad Wiessee","Bayern","Bad Wiessee, Bayern",47.7115,11.7254,7.72,7.16,5.85066111111111,5,0
"Lenggries","Bayern","Lenggries, Bayern",47.6836,11.5679,7.68,6.68,6.01277,5,0
"Dinkelsbühl","Bayern","Dinkelsbühl, Bayern",49.0687,10.3214,6.8,6.98,4.13441722222222,2,0.7
"Schwäbisch Hall","Baden-Württemberg","Schwäbisch Hall, Baden-Württemberg",49.1124,9.7392,6.8,8.72,5.00735555555556,2,1.4
"Plön","Schleswig-Holstein","Plön, Schleswig-Holstein",54.1626,10.4215,5.38,4.28,0.248236111111111,1,3.4
"Malchow","Mecklenburg-Vorpommern","Malchow, Mecklenburg-Vorpommern",53.474410357379,12.4261094776683,5.26,3.92,0,1,5.2
