"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Sarajevo","Bosnien-Herzegowina",43.8519774,18.3866868,"Sarajevo, Bosnien-Herzegowina",7.6,3.15,7.82940972222222,2,0
"Douglas","Isle of Man",54.152299920289,-4.4851686250414,"Douglas, Isle of Man",7.6,5.35,5.64346944444445,2,0
"Belgrad","Serbien",44.8178131,20.4568974,"Belgrad, Serbien",7.8,3.4,7.69043888888889,2,0
"Ajaccio","Frankreich",41.9263991,8.7376029,"Ajaccio, Frankreich",8.4,14.25,8.10239722222222,2,0
"Bergen","Norwegen",60.3943055,5.3259192,"Bergen, Norwegen",4.9,2.4,1.48911111111111,0,2.8
"Mostar","Bosnien-Herzegowina",43.3435855,17.8076584,"Mostar, Bosnien-Herzegowina",8,9.05,7.98376805555556,2,0
"Uppsala","Schweden",59.8586126,17.6387436,"Uppsala, Schweden",6.1,-3.5,3.85246388888889,2,0
"Rom","Italien",41.8933203,12.4829321,"Rom, Italien",8.4,11.9,8.10175,2,0
"Vilnius","Litauen",54.6870458,25.2829111,"Vilnius, Litauen",5.2,-4.45,5.11863472222222,1,1.2
"Bordeaux","Frankreich",44.841225,-0.5800364,"Bordeaux, Frankreich",7.4,4.05,3.88750277777778,2,0
"Glasgow","Schottland",55.861155,-4.2501687,"Glasgow, Schottland",7.7,2.05,5.05322361111111,2,0
"Saaremaa","Estland",58.27382,22.2771058,"Saaremaa, Estland",5.7,-1.85,4.48490277777778,2,0
"Riga","Lettland",56.9493977,24.1051846,"Riga, Lettland",1,-1.6,4.18562083333333,0,5.7
"Brest","Frankreich",48.3905283,-4.4860088,"Brest, Frankreich",7.9,7.1,6.231475,2,0
"St Ives","England",50.2149064,-5.4795083,"St Ives, England",7.9,8.5,5.64514722222222,2,0
"Collioure","Frankreich",42.52505,3.0831554,"Collioure, Frankreich",8.6,12.15,7.97826805555555,2,0
"Cadaqués","Spanien",42.2893484,3.2752159,"Cadaqués, Spanien",8.6,12.35,7.90281805555556,2,0
"Dubrovnik","Kroatien",42.6491029,18.0939501,"Dubrovnik, Kroatien",8.1,9.5,8.02331666666667,2,0
"Belfast","Nordirland",54.5975804,-5.9277097,"Belfast, Nordirland",7.6,4.45,4.50859861111111,2,0
