"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Zermatt","Schweiz :ch:",6.2,1.15,11.2230625,0,0.23
"Bled","Slowenien :si:",9.1,13.3,12,2,0
"Paris","Frankreich :fr:",7.9,12.4,10.2917263888889,1,0.6
"Norwich","England :gb-eng:",5.7,9.6,7.06782083333333,0,3.6
"Ipswich","England :gb-eng:",6.4,9.75,7,0,2.3
"Katowice","Polen :pl:",6.3,10,2.26763888888889,0,0.45
"Torri del Benaco","Italien :it:",9.3,16.9,11.6674861111111,2,0
"Genf","Schweiz :ch:",6.25,8.75,8.77305138888889,1,3.42
"Sirmione","Italien :it:",9.2,17.3,11.5957152777778,2,0
"Mailand","Italien :it:",9,17.3,10.3497361111111,2,0
"Danzig","Polen :pl:",8.7,10.1,11.1048402777778,2,0
"Maribor","Slowenien :si:",8,12.9,9.01687638888889,1,1.2
"Ljubljana","Slowenien :si:",9.3,15.6,12,2,0
"Annecy","Frankreich :fr:",6.65,9.85,8.67620833333333,1,3.32
"Venedig","Italien :it:",9.2,17.1,11.5750625,2,0
"Triest","Italien :it:",9,15.7,10.3206319444444,2,0
"Cambridge","England :gb-eng:",6.1,8.9,7.01538611111111,0,2.1
"Krakau","Polen :pl:",6,10.15,4.31087083333333,0,3.55
"Skagen","Dänemark :dk:",7.9,7.6,7.38308055555556,1,0.1
"London","England :gb-eng:",6.9,9.95,7.20539583333333,0,1.4
"Göteborg","Schweden :se:",6.9,7.75,4.26741527777778,1,0.3
"Brighton","England :gb-eng:",7.3,9.8,8.94083055555556,0,0.7
"Zakopane","Polen :pl:",2.65,2.6,0.437669444444444,0,8
"Lyon","Frankreich :fr:",5.7,10.05,6.25380972222222,1,3.06
"Bourges","Frankreich :fr:",6.7,11.55,7.47770277777778,1,3.7
"Rovinj","Kroatien :hr:",9.1,16.45,11.7812291666667,2,0
"Balaton","Ungarn :hu:",8.1,9.7,10.0764722222222,1,0.1
"Zagreb","Kroatien :hr:",8,12.6,8.87487916666667,0,0.65
"Deauville","Frankreich :fr:",8.1,10.7,9.84337777777778,1,0.1
"Warschau","Polen :pl:",8.5,13.75,9.09791111111111,2,0
"Hohe Tatra (Tatranská Lomnica)","Slowakei :sk:",5.6,5.85,2.68313333333333,0,0.3
"Pula","Kroatien :hr:",9.2,16.15,11.9955861111111,2,0
"Budapest","Ungarn :hu:",7.9,16.45,7.00131527777778,2,0
"Kristiansand","Norwegen :no:",6.7,8.65,8.83191111111111,0,4.6
"Oxford","England :gb-eng:",7,9.5,5.98978055555555,1,0
"Cinque Terre","Italien :it:",9.1,16.2,10.4695875,2,0
"Isle of Wight","England :gb-eng:",8.2,10.1,8.35304444444444,2,0
"Le Mans","Frankreich :fr:",8,12.35,11.1144416666667,1,1
"Clermont-Ferrand","Frankreich :fr:",5.05,9.2,6,1,3.37
"York","England :gb-eng:",5.35,8.8,3.42065555555556,0,2.6
"Plitvicer Seen","Kroatien :hr:",3.45,4.1,0.447834722222222,0,3.54
"Rimini","Italien :it:",8.9,15.1,11.764125,2,0
"Viareggio","Italien :it:",9,16.5,10.1573666666667,2,0
"Birmingham","England :gb-eng:",5.7,8.55,5.97569166666667,0,1.5
"Florenz","Italien :it:",9.2,17.4,11.5509847222222,2,0
"Bournemouth","England :gb-eng:",7.7,9.7,6.78885972222222,1,0.7
"Sanremo","Italien :it:",9,16.8,10.6446152777778,2,0
