"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein",54.4854137,9.0537941,1,11.1,0,0,8.1
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen",51.5142273,7.4652789,6.6,13.7,0,1,0
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen",53.6992698,7.7035695,1,11.6,0,0,6.2
"Kassel","Hessen","Kassel, Hessen",51.3157833,9.4978479,6.4,12.4,0.548863888888889,1,0
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg",47.6500279,9.4800858,8.4,9.9,6.877,1,0
"Mainz","Rheinland-Pfalz","Mainz, Rheinland-Pfalz",49.9995205,8.2736253,7.2,11.9,1.53309166666667,1,0
"Helgoland","Schleswig-Holstein","Helgoland, Schleswig-Holstein",54.1820608,7.8876314,1,10.9,0,0,8.4
"Mannheim","Baden-Württemberg","Mannheim, Baden-Württemberg",49.4892913,8.4673098,8.2,13.2,4.78667777777778,1,0
"Überlingen","Baden-Württemberg","Überlingen, Baden-Württemberg",47.7664456,9.1605106,8.2,9.1,5.82048611111111,1,0
"Bansin","Mecklenburg-Vorpommern","Bansin, Mecklenburg-Vorpommern",53.9690358,14.1391435,6.2,9.4,3.43483055555556,0,0.6
"Bensersiel","Niedersachsen","Bensersiel, Niedersachsen",53.6742688,7.574467,1.5,12.5,0,0,2.62
"Bonn","Nordrhein-Westfalen","Bonn, Nordrhein-Westfalen",50.7352621,7.1024635,7.8,13.9,3.28726944444444,1,0
"Karlsruhe","Baden-Württemberg","Karlsruhe, Baden-Württemberg",49.0068705,8.4034195,8.4,13.3,6.38002777777778,1,0
"Aachen","Nordrhein-Westfalen","Aachen, Nordrhein-Westfalen",50.776351,6.083862,7.6,13.6,2.69153888888889,1,0
"Passau","Bayern","Passau, Bayern",48.5748229,13.4609744,7.8,11.6,3.91560277777778,1,0
"Flensburg","Schleswig-Holstein","Flensburg, Schleswig-Holstein",54.7833021,9.4333264,1.8,10.9,0,0,5
"Wiesbaden","Hessen","Wiesbaden, Hessen",50.0820384,8.2416556,6.8,11.5,0.718105555555556,1,0
"Quedlinburg","Sachsen-Anhalt","Quedlinburg, Sachsen-Anhalt",51.7855428,11.1519933,5.6,13.5,0,0,1
"Magdeburg","Sachsen-Anhalt","Magdeburg, Sachsen-Anhalt",52.1315889,11.6399609,3.3,11.9,0,0,2.2
"Bad Reichenhall","Bayern","Bad Reichenhall, Bayern",47.7222676,12.8760923,8.4,11.9,6.10258055555556,1,0
"Goslar","Niedersachsen","Goslar, Niedersachsen",51.9059936,10.4266284,3.3,12.3,0,0,2
"Prerow","Mecklenburg-Vorpommern","Prerow, Mecklenburg-Vorpommern",54.445906,12.5660206,5.2,10,2.82301388888889,0,1.5
"Baden-Baden","Baden-Württemberg","Baden-Baden, Baden-Württemberg",48.7610716,8.239959,8.4,13.7,6.66861111111111,1,0
"Augsburg","Bayern","Augsburg, Bayern",48.3690341,10.8979522,8.4,11.9,6.10208611111111,1,0
"Eckernförde","Schleswig-Holstein","Eckernförde, Schleswig-Holstein",54.4716456,9.8374947,2,11.4,0,0,5
"Edersee","Hessen","Edersee, Hessen",51.1873377,8.9925823,6.4,11.8,0.0617722222222222,1,0
"Rust","Baden-Württemberg","Rust, Baden-Württemberg",48.2659347,7.7263213,8.4,13.7,6.92143333333333,1,0
"Willingen","Hessen","Willingen, Hessen",51.294451454558,8.60517952010764,6.2,10.8,0,1,0
"Emden","Niedersachsen","Emden, Niedersachsen",53.3670541,7.2058304,1.5,12.3,0,0,2.05
"Göttingen","Niedersachsen","Göttingen, Niedersachsen",51.5328328,9.9351811,5.8,12.4,0,0,0.3
"Plau am See","Mecklenburg-Vorpommern","Plau am See, Mecklenburg-Vorpommern",53.4600943,12.2631689,3.3,10.5,0,0,2.9
"Eisenach","Thüringen","Eisenach, Thüringen",50.9747134,10.3193565,6.2,13.2,0,0,0.1
"Wangerooge","Niedersachsen","Wangerooge, Niedersachsen",53.7891528,7.9016018,1,11.1,0,0,7
"Winterberg","Nordrhein-Westfalen","Winterberg, Nordrhein-Westfalen",51.1930723,8.5338466,6,10,0,0,0.1
"Rothenburg ob der Tauber","Bayern","Rothenburg ob der Tauber, Bayern",49.3772526,10.1790017,8,12.7,5.28853333333333,1,0
"Ulm","Baden-Württemberg","Ulm, Baden-Württemberg",48.3984968,9.9912458,8.4,11.2,6,1,0
"Bielefeld","Nordrhein-Westfalen","Bielefeld, Nordrhein-Westfalen",52.0191005,8.531007,4.4,13,0,0,1.5
"Bad Neuenahr-Ahrweiler","Rheinland-Pfalz","Bad Neuenahr-Ahrweiler, Rheinland-Pfalz",50.5444551,7.1186671,7.8,13.1,3.71937777777778,1,0
"Schliersee","Bayern","Schliersee, Bayern",47.7345915,11.8620286,8.6,13,6.80556944444444,1,0
"Essen","Nordrhein-Westfalen","Essen, Nordrhein-Westfalen",51.4582235,7.0158171,6.8,13.4,0.406152777777778,1,0
"Monschau","Nordrhein-Westfalen","Monschau, Nordrhein-Westfalen",50.5544687,6.2407954,7.8,11.6,4.11243333333333,1,0
"Fulda","Hessen","Fulda, Hessen",50.5542328,9.6770448,7.2,12.8,2.51532777777778,1,0
"Ostseebad Sellin","Mecklenburg-Vorpommern","Ostseebad Sellin, Mecklenburg-Vorpommern",54.3770567,13.6942765,6.2,9,3.55872222222222,0,0.7
"Osnabrück","Niedersachsen","Osnabrück, Niedersachsen",52.2770300033127,8.0448701283995,3.1,12.6,0,0,2.2
"Braunschweig","Niedersachsen","Braunschweig, Niedersachsen",52.2646577,10.5236066,1.5,12.2,0,0,3
"Mittenwald","Bayern","Mittenwald, Bayern",47.4429543,11.2655684,8.4,10.3,7.16600277777778,1,0
"Lübbenau","Brandenburg","Lübbenau, Brandenburg",51.8680114,13.9689477,4.2,12,0,0,2.5
"Marburg an der Lahn","Hessen","Marburg an der Lahn, Hessen",50.80904,8.77069,6.6,11.3,0,1,0
"Dierhagen","Mecklenburg-Vorpommern","Dierhagen, Mecklenburg-Vorpommern",54.2918991,12.351915,4.8,10.6,1.98261944444444,0,1.6
